# STEVAL-MKI168V1 (IIS2DH) 

time[us],acc_x[mg],acc_y[mg],acc_z[mg],acc_x[LSB],acc_y[LSB],acc_z[LSB],int_1,int_2
38177500,-13.000,17.000,1111.000,-13,17,1111,0,0
38178251,-6.000,33.000,1087.000,-6,33,1087,0,0
38179004,-3.000,25.000,1108.000,-3,25,1108,0,0
38179755,-13.000,23.000,1094.000,-13,23,1094,0,0
38180515,-3.000,34.000,1091.000,-3,34,1091,0,0
38181266,-12.000,17.000,1109.000,-12,17,1109,0,0
38182018,-12.000,30.000,1088.000,-12,30,1088,0,0
38182768,-6.000,29.000,1092.000,-6,29,1092,0,0
38183520,-11.000,18.000,1101.000,-11,18,1101,0,0
38184272,-5.000,37.000,1089.000,-5,37,1089,0,0
38185023,-7.000,23.000,1104.000,-7,23,1104,0,0
38185781,-5.000,27.000,1091.000,-5,27,1091,0,0
38186532,-4.000,36.000,1090.000,-4,36,1090,0,0
38187283,-6.000,19.000,1110.000,-6,19,1110,0,0
38188036,-4.000,31.000,1091.000,-4,31,1091,0,0
38188788,-4.000,32.000,1107.000,-4,32,1107,0,0
38189539,-7.000,25.000,1104.000,-7,25,1104,0,0
38190291,-1.000,37.000,1092.000,-1,37,1092,0,0
38191043,-1.000,22.000,1115.000,-1,22,1115,0,0
38191801,-11.000,25.000,1100.000,-11,25,1100,0,0
38192554,-6.000,31.000,1091.000,-6,31,1091,0,0
38193306,-8.000,16.000,1110.000,-8,16,1110,0,0
38194058,-11.000,29.000,1084.000,-11,29,1084,0,0
38194809,-4.000,27.000,1102.000,-4,27,1102,0,0
38195562,-13.000,17.000,1104.000,-13,17,1104,0,0
38196314,-10.000,35.000,1090.000,-10,35,1090,0,0
38197066,-10.000,23.000,1108.000,-10,23,1108,0,0
38197817,-11.000,21.000,1088.000,-11,21,1088,0,0
38198570,-3.000,31.000,1088.000,-3,31,1088,0,0
38199322,-10.000,19.000,1101.000,-10,19,1101,0,0
38200074,-8.000,35.000,1092.000,-8,35,1092,0,0
38200825,-3.000,26.000,1106.000,-3,26,1106,0,0
38201578,-8.000,16.000,1104.000,-8,16,1104,0,0
38202337,-5.000,33.000,1086.000,-5,33,1086,0,0
38203090,-8.000,17.000,1108.000,-8,17,1108,0,0
38203840,-10.000,24.000,1093.000,-10,24,1093,0,0
38204591,-2.000,29.000,1101.000,-2,29,1101,0,0
38205342,-7.000,14.000,1112.000,-7,14,1112,0,0
38206094,-7.000,37.000,1087.000,-7,37,1087,0,0
38206845,-3.000,28.000,1103.000,-3,28,1103,0,0
38207597,-10.000,16.000,1102.000,-10,16,1102,0,0
38208355,-7.000,32.000,1083.000,-7,32,1083,0,0
38209107,-10.000,20.000,1106.000,-10,20,1106,0,0
38209857,-16.000,27.000,1088.000,-16,27,1088,0,0
38210609,-11.000,31.000,1096.000,-11,31,1096,0,0
38211360,-16.000,18.000,1111.000,-16,18,1111,0,0
38212112,-10.000,32.000,1095.000,-10,32,1095,0,0
38212872,-5.000,26.000,1107.000,-5,26,1107,0,0
38213623,-11.000,20.000,1108.000,-11,20,1108,0,0
38214374,-10.000,35.000,1092.000,-10,35,1092,0,0
38215127,-9.000,19.000,1103.000,-9,19,1103,0,0
38215878,-15.000,23.000,1089.000,-15,23,1089,0,0
38216630,-6.000,32.000,1092.000,-6,32,1092,0,0
38217381,-11.000,16.000,1105.000,-11,16,1105,0,0
38218133,-8.000,35.000,1085.000,-8,35,1085,0,0
38218885,-7.000,27.000,1103.000,-7,27,1103,0,0
38219635,-12.000,20.000,1106.000,-12,20,1106,0,0
38220388,-3.000,33.000,1097.000,-3,33,1097,0,0
38221147,-6.000,19.000,1122.000,-6,19,1122,0,0
38221898,-12.000,22.000,1096.000,-12,22,1096,0,0
38222650,-8.000,29.000,1097.000,-8,29,1097,0,0
38223403,-11.000,19.000,1105.000,-11,19,1105,0,0
38224155,-10.000,36.000,1085.000,-10,36,1085,0,0
38224907,-8.000,28.000,1098.000,-8,28,1098,0,0
38225657,-15.000,20.000,1100.000,-15,20,1100,0,0
38226409,-7.000,36.000,1089.000,-7,36,1089,0,0
