# STEVAL-MKI208V1K (IIS3DWB) 

time[us],acc_x[mg],acc_y[mg],acc_z[mg],acc_x[LSB],acc_y[LSB],acc_z[LSB],int_1
7318498,56.486,-107.848,971.303,926,-1768,15923,0
7318535,28.914,-126.392,956.846,474,-2072,15686,0
7318576,32.147,-146.278,957.761,527,-2398,15701,0
7318610,46.360,-147.193,947.940,760,-2413,15540,0
7318647,44.103,-168.848,937.692,723,-2768,15372,0
7318688,80.398,-169.763,943.731,1318,-2783,15471,0
7318724,63.867,-171.532,942.816,1047,-2812,15456,0
7318758,84.973,-166.652,945.622,1393,-2732,15502,0
7318797,75.335,-172.508,960.140,1235,-2828,15740,0
7318832,96.441,-159.332,965.691,1581,-2612,15831,0
7318870,101.077,-187.819,972.706,1657,-3079,15946,0
7318907,82.716,-178.791,1006.317,1356,-2931,16497,0
7318945,107.543,-200.507,986.736,1763,-3287,16176,0
7318981,75.762,-198.677,1029.680,1242,-3257,16880,0
7319021,43.188,-198.250,1032.974,708,-3250,16934,0
7319057,38.613,-183.732,1042.307,633,-3012,17087,0
7319095,17.873,-208.132,1083.848,293,-3412,17768,0
7319130,31.232,-178.791,1102.026,512,-2931,18066,0
7319167,16.104,-193.248,1089.948,264,-3168,17868,0
7319206,31.232,-155.794,1101.111,512,-2554,18051,0
7319241,14.701,-159.393,1112.823,241,-2613,18243,0
7319278,-1.342,-146.766,1127.768,-22,-2406,18488,0
7319316,40.382,-105.164,1110.932,662,-1724,18212,0
7319353,2.745,-102.480,1148.752,45,-1680,18832,0
7319392,2.318,-66.307,1181.448,38,-1087,19368,0
7319427,11.041,-14.823,1155.828,181,-243,18948,0
7319467,-28.914,0.122,1167.906,-474,2,19146,0
7319502,-5.978,56.608,1132.038,-98,928,18558,0
7319539,-17.446,61.122,1143.628,-286,1002,18748,0
7319576,-26.169,94.550,1135.698,-429,1550,18618,0
7319613,-39.040,111.264,1158.146,-640,1824,18986,0
7319651,-59.780,122.549,1143.140,-980,2009,18740,0
7319688,-42.273,160.552,1141.310,-693,2632,18710,0
7319725,-73.505,142.374,1158.573,-1205,2334,18993,0
7319762,-35.868,186.233,1124.535,-588,3053,18435,0
7319799,-74.420,152.805,1174.921,-1220,2505,19261,0
7319837,-60.146,183.549,1104.405,-986,3009,18105,0
7319877,-78.080,193.492,1109.102,-1280,3172,18182,0
7319911,-76.738,183.549,1120.753,-1258,3009,18373,0
7319948,-56.059,205.204,1094.096,-919,3364,17936,0
7319985,-32.635,202.032,1088.545,-535,3312,17845,0
7320022,-5.978,180.377,1077.382,-98,2957,17662,0
7320059,13.298,165.920,1060.546,218,2720,17386,0
7320099,18.788,178.120,1040.904,308,2920,17064,0
7320134,20.679,147.376,1008.635,339,2416,16535,0
7320171,24.766,146.888,1034.377,406,2408,16957,0
7320210,51.911,126.148,991.860,851,2068,16260,0
7320245,24.400,85.949,1012.844,400,1409,16604,0
7320282,34.892,67.466,973.621,572,1106,15961,0
7320319,8.723,37.576,969.412,143,616,15892,0
7320359,12.810,24.095,977.830,210,395,16030,0
7320394,26.657,-9.394,960.994,437,-154,15754,0
7320431,22.936,-62.647,979.233,376,-1027,16053,0
7320469,30.744,-85.278,965.264,504,-1398,15824,0
7320508,34.404,-108.763,942.816,564,-1783,15456,0
7320543,33.062,-148.108,966.667,542,-2428,15847,0
7320580,48.678,-129.991,964.288,798,-2131,15808,0
7320617,57.462,-153.049,956.846,942,-2509,15686,0
7320654,62.952,-157.075,965.691,1032,-2575,15831,0
7320690,56.974,-192.333,961.055,934,-3153,15755,0
7320728,82.716,-160.308,970.388,1356,-2628,15908,0
7320765,75.823,-179.218,945.622,1243,-2938,15502,0
7320802,80.886,-170.251,974.597,1326,-2791,15977,0
7320841,108.885,-180.621,973.621,1785,-2961,15961,0
7320877,74.908,-195.932,995.581,1228,-3212,16321,0
7320915,101.077,-183.366,980.148,1657,-3006,16068,0
7320955,69.784,-204.533,1027.850,1144,-3353,16850,0
7320989,66.612,-199.592,1012.417,1092,-3272,16597,0
7321028,46.848,-198.250,1032.486,768,-3250,16926,0
7321063,23.912,-189.222,1069.391,392,-3102,17531,0
7321100,31.720,-199.592,1078.236,520,-3272,17676,0
7321137,28.487,-191.418,1065.182,467,-3138,17462,0
7321175,16.104,-197.335,1120.753,264,-3235,18373,0
7321211,36.295,-172.020,1095.072,595,-2820,17952,0
7321249,7.320,-158.905,1097.390,120,-2605,17990,0
7321286,28.914,-116.449,1112.396,474,-1909,18236,0
7321323,22.570,-114.619,1144.604,370,-1879,18764,0
7321361,21.594,-77.165,1143.628,354,-1265,18748,0
7321398,14.213,-45.506,1156.682,233,-746,18962,0
7321435,-5.978,-22.448,1128.195,-98,-368,18495,0
7321471,-4.148,25.010,1152.046,-68,410,18886,0
7321509,-9.638,48.922,1154.852,-158,802,18932,0
7321547,-18.849,76.494,1168.882,-309,1254,19162,0
7321583,-11.468,95.404,1150.643,-188,1564,18863,0
7321621,-40.443,123.403,1159.061,-663,2023,19001,0
7321660,-48.251,141.520,1141.798,-791,2320,18718,0
7321695,-50.996,147.864,1148.752,-836,2424,18832,0
7321732,-61.610,160.003,1142.225,-1010,2623,18725,0
7321771,-64.294,163.663,1160.464,-1054,2683,19024,0
7321806,-82.228,186.233,1144.604,-1348,3053,18764,0
7321844,-67.039,182.634,1138.016,-1099,2994,18656,0
7321883,-80.398,183.122,1121.241,-1318,3002,18381,0
7321917,-59.292,198.433,1116.544,-972,3253,18304,0
7321956,-60.146,201.605,1091.290,-986,3305,17890,0
7321992,-25.254,190.320,1106.723,-414,3120,18143,0
7322029,-6.893,171.776,1062.376,-113,2816,17416,0
7322066,1.403,172.264,1046.028,23,2824,17148,0
7322104,31.720,160.064,1003.084,520,2624,16444,0
7322140,-4.575,138.348,1030.656,-75,2268,16896,0
7322178,29.402,135.664,1015.650,482,2224,16650,0
7322215,11.956,116.205,1005.402,196,1905,16482,0
7322252,22.509,108.580,994.666,369,1780,16306,0
7322291,-0.488,33.123,1009.611,-8,543,16551,0
7322327,5.063,37.637,968.070,83,617,15870,0
7322364,4.148,0.122,1000.278,68,2,16398,0
7322402,33.977,-16.592,986.736,557,-272,16176,0
7322438,22.997,-55.022,987.651,377,-902,16191,0
7322476,19.276,-101.077,984.845,316,-1657,16145,0
7322513,37.210,-99.735,955.931,610,-1635,15671,0
7322550,42.273,-127.307,954.040,693,-2087,15640,0
7322588,51.911,-147.193,979.233,851,-2413,16053,0
7322625,48.190,-129.991,925.065,790,-2131,15165,0
7322661,63.806,-162.077,959.164,1046,-2657,15724,0
7322698,64.782,-170.190,949.343,1062,-2790,15563,0
7322739,66.612,-156.648,933.910,1092,-2568,15310,0
7322774,70.760,-187.819,944.219,1160,-3079,15479,0
7322810,96.502,-158.478,975.024,1582,-2598,15984,0
7322848,105.225,-183.732,963.373,1725,-3012,15793,0
7322885,90.036,-183.732,1003.999,1476,-3012,16459,0
7322922,96.990,-186.050,1019.432,1590,-3050,16712,0
7322959,79.483,-208.620,1022.665,1303,-3420,16765,0
7322996,46.421,-188.734,1030.656,761,-3094,16896,0
7323033,34.892,-199.592,1047.004,572,-3272,17164,0
7323070,15.616,-188.307,1084.763,256,-3087,17783,0
7323108,22.082,-193.248,1081.042,362,-3168,17722,0
7323144,33.550,-197.274,1088.484,550,-3234,17844,0
7323182,24.400,-198.677,1103.490,400,-3257,18090,0
7323219,23.424,-175.192,1100.196,384,-2872,18036,0
7323255,14.213,-162.992,1110.444,233,-2672,18204,0
7323293,29.890,-132.675,1129.598,490,-2175,18518,0
7323330,-1.403,-115.534,1148.752,-23,-1894,18832,0
7323368,18.361,-83.021,1156.682,301,-1361,18962,0
7323405,16.958,-35.990,1142.225,278,-590,18725,0
7323444,-20.679,-22.021,1141.737,-339,-361,18717,0
7323480,-18.422,30.866,1129.598,-302,506,18518,0
7323516,-21.594,57.950,1165.588,-354,950,19108,0
7323555,-5.002,95.892,1139.907,-82,1572,18687,0
7323593,-39.955,97.722,1158.146,-655,1602,18986,0
7323628,-43.188,112.118,1148.325,-708,1838,18825,0
7323665,-50.996,130.662,1147.837,-836,2142,18817,0
7323703,-51.484,154.147,1153.449,-844,2527,18909,0
7323739,-48.678,185.318,1148.325,-798,3038,18825,0
7323776,-67.954,154.635,1133.380,-1114,2535,18580,0
7323814,-69.845,175.863,1149.728,-1145,2883,18848,0
7323853,-75.335,169.092,1146.434,-1235,2772,18794,0
7323889,-72.102,205.692,1124.474,-1182,3372,18434,0
7323925,-57.401,201.178,1110.017,-941,3298,18197,0
7323964,-58.377,188.490,1105.808,-957,3090,18128,0
7323999,-12.871,211.548,1066.097,-211,3468,17477,0
7324037,-3.233,185.318,1069.879,-53,3038,17539,0
7324074,25.742,158.234,1052.616,422,2594,17256,0
7324111,24.827,159.149,1040.416,407,2609,17056,0
7324150,27.084,146.461,1029.253,444,2401,16873,0
7324186,24.339,143.777,1025.044,399,2357,16804,0
7324223,22.082,108.519,1020.774,362,1779,16734,0
7324261,28.548,89.121,996.984,468,1461,16344,0
7324299,24.827,57.462,960.140,407,942,15740,0
7324334,2.745,25.864,996.984,45,424,16344,0
7324372,31.232,12.322,964.776,512,202,15816,0
7324408,11.468,-47.763,966.667,188,-783,15847,0
7324448,34.465,-54.107,957.334,565,-887,15694,0
7324483,28.060,-111.020,974.109,460,-1820,15969,0
7324520,59.719,-119.133,970.388,979,-1953,15908,0
7324557,30.317,-129.076,956.846,497,-2116,15686,0
7324594,45.933,-148.474,962.946,753,-2434,15786,0
7324632,40.870,-138.165,937.204,670,-2265,15364,0
7324669,61.610,-169.275,961.055,1010,-2775,15755,0
7324706,65.270,-169.336,954.040,1070,-2776,15640,0
7324744,65.697,-168.360,934.398,1077,-2760,15318,0
7324780,73.078,-168.360,935.374,1198,-2760,15334,0
7324817,97.844,-174.704,971.791,1604,-2864,15931,0
7324853,95.526,-170.190,966.667,1566,-2790,15847,0
7324891,111.203,-187.392,982.954,1823,-3072,16114,0
7324929,91.439,-180.560,997.472,1499,-2960,16352,0
7324968,86.376,-210.877,1026.386,1416,-3457,16826,0
7325003,57.462,-191.418,1011.014,942,-3138,16574,0
7325041,54.656,-187.819,1048.834,896,-3079,17194,0
7325078,39.040,-195.078,1060.973,640,-3198,17393,0
7325115,35.868,-188.246,1064.206,588,-3086,17446,0
7325156,15.616,-200.934,1096.414,256,-3294,17974,0
7325193,41.846,-179.218,1079.639,686,-2938,17699,0
7325227,-5.002,-180.560,1118.435,-82,-2960,18335,0
7325264,19.276,-145.790,1131.489,316,-2390,18549,0
7325303,35.380,-115.534,1138.504,580,-1894,18664,0
7325340,-3.172,-99.308,1159.061,-52,-1628,19001,0
7325375,4.148,-78.507,1144.116,68,-1287,18756,0
7325414,-10.126,-48.251,1160.952,-166,-791,19032,0
7325451,-10.126,-12.078,1160.952,-166,-198,19032,0
7325487,0.854,41.663,1139.419,14,683,18679,0
7325523,-21.106,58.804,1137.589,-346,964,18649,0
7325563,-17.019,89.121,1124.047,-279,1461,18427,0
7325600,-31.232,93.208,1152.534,-512,1528,18894,0
7325635,-41.358,128.405,1139.480,-678,2105,18680,0
7325673,-53.741,140.605,1137.162,-881,2305,18642,0
7325713,-35.868,162.321,1151.558,-588,2661,18878,0
7325746,-55.144,177.632,1148.752,-904,2912,18832,0
7325784,-71.675,168.177,1146.434,-1175,2757,18794,0
7325821,-71.675,158.722,1144.116,-1175,2602,18756,0
7325860,-51.911,201.117,1120.753,-851,3297,18373,0
7325896,-90.951,177.632,1109.102,-1491,2912,18182,0
7325933,-64.355,214.720,1097.878,-1055,3520,17998,0
7325970,-50.996,196.664,1114.714,-836,3224,18274,0
7326010,-14.701,197.091,1074.515,-241,3231,17615,0
7326045,14.701,178.974,1047.431,241,2934,17171,0
7326081,27.572,155.550,1067.988,452,2550,17508,0
7326118,23.424,165.920,1010.038,384,2720,16558,0
7326155,24.339,136.091,1033.889,399,2231,16949,0
7326192,24.339,145.119,1009.611,399,2379,16551,0
7326230,26.169,93.208,1008.696,429,1528,16536,0
7326267,27.084,76.494,977.830,444,1254,16030,0
7326305,18.849,64.294,970.388,309,1054,15908,0
7326345,32.574,24.522,983.930,534,402,16130,0
7326379,29.829,-21.594,976.000,489,-354,16000,0
7326416,41.785,-44.591,967.582,685,-731,15862,0
7326454,24.339,-73.505,968.924,399,-1205,15884,0
7326492,41.358,-116.449,951.722,678,-1909,15602,0
7326527,21.594,-118.706,966.606,354,-1946,15846,0
7326564,43.676,-144.936,955.870,716,-2376,15670,0
7326600,41.846,-142.679,961.482,686,-2339,15762,0
7326639,50.996,-156.221,934.886,836,-2561,15326,0
7326676,70.760,-157.563,953.125,1160,-2583,15625,0
7326713,52.826,-172.508,937.265,866,-2828,15365,0
7326751,87.230,-145.790,948.916,1430,-2390,15556,0
7326791,59.719,-177.510,971.303,979,-2910,15923,0
7326825,106.140,-161.162,968.497,1740,-2642,15877,0
7326862,93.269,-182.817,981.124,1529,-2997,16084,0
7326899,83.143,-182.390,977.403,1363,-2990,16023,0
7326936,105.652,-204.960,1019.859,1732,-3360,16719,0
7326975,55.632,-206.363,1005.890,912,-3383,16490,0
7327011,78.568,-192.760,1031.083,1288,-3160,16903,0
7327048,16.531,-208.620,1060.546,271,-3420,17386,0
7327085,28.487,-189.222,1076.894,467,-3102,17654,0
7327122,8.723,-200.019,1092.754,143,-3279,17914,0
7327161,31.720,-181.048,1071.282,520,-2968,17562,0
7327196,29.402,-191.418,1097.451,482,-3138,17991,0
7327234,15.128,-168.848,1121.241,248,-2768,18381,0
7327272,17.446,-147.620,1133.868,286,-2420,18588,0
7327307,26.230,-94.794,1146.007,430,-1554,18787,0
7327347,-5.490,-101.992,1153.876,-90,-1672,18916,0
7327382,14.701,-55.510,1126.792,241,-910,18472,0
7327419,12.383,-35.136,1133.807,203,-576,18587,0
7327457,-5.063,17.263,1141.798,-83,283,18718,0
7327494,-11.956,41.663,1157.170,-196,683,18970,0
7327531,-24.339,75.518,1137.101,-399,1238,18641,0
7327571,-47.336,84.607,1154.364,-776,1387,18924,0
7327606,-38.125,108.946,1143.140,-625,1786,18740,0
7327643,-53.741,111.691,1153.937,-881,1831,18917,0
7327679,-37.210,154.635,1145.519,-610,2535,18779,0
7327717,-73.078,161.406,1139.419,-1198,2646,18679,0
7327755,-63.379,153.720,1163.270,-1039,2520,19070,0
7327791,-58.377,180.377,1144.116,-957,2957,18756,0
7327828,-83.204,172.691,1145.519,-1364,2831,18779,0
7327866,-62.464,185.318,1120.326,-1024,3038,18366,0
7327903,-76.250,191.662,1116.056,-1250,3142,18296,0
7327939,-56.059,206.546,1108.614,-919,3386,18174,0
7327977,-26.657,193.004,1072.197,-437,3164,17577,0
7328014,-35.380,172.264,1085.251,-580,2824,17791,0
7328053,16.958,171.349,1026.874,278,2809,16834,0
7328093,8.296,160.064,1036.268,136,2624,16988,0
7328126,20.679,141.032,1027.362,339,2312,16842,0
7328163,22.021,151.036,1017.541,361,2476,16681,0
7328200,27.145,136.152,1016.138,445,2232,16658,0
7328241,9.638,99.491,999.790,158,1631,16390,0
7328275,14.701,76.921,997.960,241,1261,16360,0
7328311,11.468,35.807,980.209,188,587,16069,0
7328350,23.424,14.518,969.900,384,238,15900,0
7328386,17.019,-20.252,976.488,279,-332,16008,0
7328423,29.402,-31.537,961.970,482,-517,15770,0
7328460,34.465,-82.594,976.000,565,-1354,16000,0
7328499,33.977,-109.190,979.721,557,-1790,16061,0
7328535,31.720,-139.934,965.691,520,-2294,15831,0
7328572,38.552,-117.791,939.095,632,-1931,15395,0
7328610,53.802,-143.106,957.334,882,-2346,15694,0
7328646,53.741,-166.591,974.109,881,-2731,15969,0
7328684,61.549,-154.879,942.816,1009,-2539,15456,0
7328721,73.932,-186.904,958.676,1212,-3064,15716,0
7328757,86.864,-176.534,952.149,1424,-2894,15609,0
7328795,86.376,-154.818,958.249,1416,-2538,15709,0
7328832,97.356,-169.336,973.621,1596,-2776,15961,0
7328869,97.844,-173.789,969.412,1604,-2849,15892,0
7328906,105.652,-185.135,998.387,1732,-3035,16367,0
7328944,59.292,-202.276,1010.099,972,-3316,16559,0
7328980,81.740,-169.763,1011.990,1340,-2783,16590,0
7329019,52.826,-209.108,1024.556,866,-3428,16796,0
7329055,41.785,-179.706,1053.104,685,-2946,17264,0
7329092,22.082,-192.333,1088.972,362,-3153,17852,0
7329129,40.382,-177.449,1079.212,662,-2909,17692,0
7329166,37.210,-184.647,1079.212,610,-3027,17692,0
7329205,13.298,-180.621,1108.614,218,-2961,18174,0
7329241,4.148,-186.477,1116.544,68,-3057,18304,0
7329278,10.980,-147.620,1134.295,180,-2420,18595,0
7329315,17.934,-116.937,1130.086,294,-1917,18526,0
7329354,5.490,-98.393,1157.170,90,-1613,18970,0
7329390,4.148,-52.338,1150.643,68,-858,18863,0
7329426,17.934,-25.620,1152.534,294,-420,18894,0
7329465,-18.422,17.263,1161.379,-302,283,19039,0
7329505,-9.150,52.094,1148.752,-150,854,18832,0
7329539,-33.550,79.605,1158.573,-550,1305,18993,0
7329576,-11.041,89.548,1149.728,-181,1468,18848,0
7329615,-29.402,129.320,1148.752,-482,2120,18832,0
7329650,-47.824,127.551,1168.394,-784,2091,19154,0
7329687,-36.295,155.977,1152.046,-595,2557,18886,0
7329724,-71.614,142.374,1152.473,-1174,2334,18893,0
7329764,-52.826,176.778,1121.180,-866,2898,18380,0
7329802,-66.124,176.290,1154.852,-1084,2890,18932,0
7329836,-84.546,186.233,1140.395,-1386,3053,18695,0
7329873,-71.187,174.948,1112.335,-1167,2868,18235,0
7329910,-63.867,189.832,1092.266,-1047,3112,17906,0
7329947,-37.210,213.378,1085.739,-610,3498,17799,0
7329984,-34.465,195.322,1072.197,-565,3202,17577,0
7330025,-6.405,195.688,1071.709,-105,3208,17569,0
7330059,-3.233,170.861,1059.082,-53,2801,17362,0
7330095,-0.915,135.664,1066.585,-15,2224,17485,0
7330133,11.468,170.434,1018.944,188,2794,16704,0
7330171,17.019,119.804,1018.029,279,1964,16689,0
7330209,14.701,132.492,1012.417,241,2172,16597,0
7330245,39.528,104.005,977.830,648,1705,16030,0
7330281,-0.488,69.662,997.960,-8,1142,16360,0
7330320,20.191,40.748,970.388,331,668,15908,0
7330357,24.827,8.662,976.000,407,142,16000,0
7330393,4.636,-22.936,966.179,76,-376,15839,0
7330430,34.892,-60.390,945.134,572,-990,15494,0
7330469,46.421,-69.479,972.218,761,-1139,15938,0
7330505,32.635,-124.135,963.861,535,-2035,15801,0
7330542,50.508,-124.623,958.676,828,-2043,15716,0
7330582,55.144,-130.906,962.458,904,-2146,15778,0
7330618,78.568,-146.766,946.537,1288,-2406,15517,0
7330657,49.166,-159.820,944.219,806,-2620,15479,0
7330691,73.932,-171.105,976.000,1212,-2805,16000,0
7330727,84.973,-164.822,952.576,1393,-2702,15616,0
7330768,67.954,-179.706,968.009,1114,-2946,15869,0
7330803,79.910,-190.991,957.334,1310,-3131,15694,0
7330839,96.441,-154.391,966.606,1581,-2531,15846,0
7330880,105.652,-174.277,976.000,1732,-2857,16000,0
7330913,84.546,-212.219,1012.417,1386,-3479,16597,0
7330955,75.762,-195.078,996.069,1242,-3198,16329,0
7330988,60.634,-209.535,1026.447,994,-3435,16827,0
7331025,37.210,-182.878,1036.268,610,-2998,16988,0
7331062,27.084,-204.106,1059.082,444,-3346,17362,0
7331101,1.342,-206.790,1103.490,22,-3390,18090,0
7331140,25.742,-169.336,1072.258,422,-2776,17578,0
7331174,20.191,-192.333,1100.196,331,-3153,18036,0
7331211,6.466,-175.680,1109.102,106,-2880,18182,0
7331251,20.252,-147.620,1120.753,332,-2420,18373,0
7331288,1.403,-149.450,1156.682,23,-2450,18962,0
7331323,10.553,-102.419,1140.822,173,-1679,18702,0
7331360,16.531,-83.448,1150.155,271,-1368,18855,0
7331398,4.575,-50.508,1145.031,75,-828,18771,0
7331437,-3.660,-33.794,1146.434,-60,-554,18794,0
7331470,-0.915,25.376,1157.170,-15,416,18970,0
7331508,-3.660,60.207,1148.813,-60,987,18833,0
7331547,-36.295,72.346,1165.588,-595,1186,19108,0
7331587,-21.106,97.661,1136.674,-346,1601,18634,0
7331620,-45.933,115.778,1162.294,-753,1898,19054,0
7331657,-49.166,115.290,1167.479,-806,1890,19139,0
7331698,-53.314,140.178,1161.867,-874,2298,19047,0
7331734,-48.678,172.752,1140.395,-798,2832,18695,0
7331768,-73.993,159.088,1130.574,-1213,2608,18534,0
7331808,-72.590,169.092,1118.008,-1190,2772,18328,0
7331842,-63.806,173.179,1124.962,-1046,2839,18442,0
7331880,-77.592,181.292,1118.435,-1272,2972,18335,0
7331917,-59.231,202.947,1101.660,-971,3327,18060,0
7331953,-47.336,205.204,1085.739,-776,3364,17799,0
7331991,-38.125,186.233,1085.739,-625,3053,17799,0
7332029,-5.978,174.948,1084.336,-98,2868,17776,0
7332066,38.613,172.691,1018.944,633,2831,16704,0
7332105,-2.318,135.664,1048.346,-38,2224,17186,0
7332142,17.446,138.348,1031.571,286,2268,16911,0
7332177,38.613,146.949,1013.820,633,2409,16620,0
7332215,22.997,98.149,1014.308,377,1609,16628,0
7332251,16.104,94.062,1005.829,264,1542,16489,0
7332292,4.148,49.349,989.969,68,809,16229,0
7332326,28.914,47.092,966.179,474,772,15839,0
7332364,16.531,-11.163,977.403,271,-183,16023,0
7332400,20.191,-42.334,982.527,331,-694,16107,0
7332438,31.232,-52.765,970.388,512,-865,15908,0
7332475,22.082,-86.620,989.481,362,-1420,16221,0
7332512,31.232,-113.765,989.969,512,-1865,16229,0
7332548,26.169,-122.305,955.870,429,-2005,15670,0
7332586,45.933,-143.106,977.830,753,-2346,16030,0
7332623,49.654,-157.502,946.537,814,-2582,15517,0
7332661,44.530,-172.508,993.690,730,-2828,16290,0
7332697,76.738,-169.336,937.692,1258,-2776,15372,0
7332737,56.974,-155.306,962.946,934,-2546,15786,0
7332773,78.568,-171.105,972.706,1288,-2805,15946,0
7332809,84.058,-187.392,987.651,1378,-3072,16191,0
7332846,114.436,-167.506,952.210,1876,-2746,15610,0
7332884,71.187,-200.019,987.651,1167,-3279,16191,0
7332920,97.844,-195.078,980.148,1604,-3198,16068,0
7332958,68.442,-209.047,1011.502,1122,-3427,16582,0
7332996,73.078,-192.333,1011.990,1198,-3153,16590,0
7333032,45.506,-181.048,1033.462,746,-2968,16942,0
7333070,34.465,-198.250,1084.824,565,-3250,17784,0
7333107,43.676,-177.876,1063.779,716,-2916,17439,0
7333144,25.742,-190.076,1101.599,422,-3116,18059,0
7333181,36.722,-186.965,1095.072,602,-3065,17952,0
7333218,29.402,-168.848,1112.823,482,-2768,18243,0
7333255,29.402,-153.476,1122.156,482,-2516,18396,0
7333294,11.956,-146.278,1151.558,196,-2398,18878,0
7333330,14.274,-96.136,1137.589,234,-1576,18649,0
7333367,-0.488,-90.219,1139.419,-8,-1479,18679,0
7333405,11.956,-44.652,1147.410,196,-732,18810,0
7333443,-12.871,-38.735,1153.022,-211,-635,18902,0
7333479,-4.148,32.147,1140.822,-68,527,18702,0
7333515,-28.060,36.661,1153.022,-460,601,18902,0
7333554,-5.490,81.008,1164.673,-90,1328,19093,0
7333592,-28.426,94.977,1150.643,-466,1557,18863,0
7333628,-45.445,118.462,1169.370,-745,1942,19170,0
7333664,-46.848,143.350,1141.310,-768,2350,18710,0
7333701,-79.483,142.862,1149.728,-1303,2342,18848,0
7333740,-62.952,183.976,1154.364,-1032,3016,18924,0
7333776,-62.952,170.007,1146.922,-1032,2787,18802,0
7333814,-80.886,158.661,1127.280,-1326,2601,18480,0
7333851,-83.143,175.436,1123.071,-1363,2876,18411,0
7333888,-61.122,202.032,1100.196,-1002,3312,18036,0
7333924,-72.102,181.292,1108.126,-1182,2972,18166,0
7333963,-42.273,214.232,1093.242,-693,3512,17922,0
7333999,-34.892,172.630,1082.018,-572,2830,17738,0
7334036,22.936,177.632,1080.615,376,2912,17715,0
7334073,5.490,138.775,1053.043,90,2275,17263,0
7334110,17.446,139.690,1020.774,286,2290,16734,0
7334149,50.081,156.404,1026.874,821,2564,16834,0
7334187,21.106,121.207,1024.556,346,1987,16796,0
7334222,23.912,104.432,987.163,392,1712,16183,0
7334261,19.764,72.834,1011.014,324,1194,16574,0
7334298,46.421,52.521,996.008,761,861,16328,0
7334333,-2.257,25.437,984.845,-37,417,16145,0
7334371,10.553,-7.076,966.606,173,-116,15846,0
7334407,13.786,-31.049,968.497,226,-509,15877,0
7334445,31.720,-63.135,945.195,520,-1035,15495,0
7334486,24.339,-110.166,981.551,399,-1806,16091,0
7334519,41.785,-110.166,969.412,685,-1806,15892,0
7334557,39.528,-135.420,973.194,648,-2220,15954,0
7334595,30.317,-160.735,981.124,497,-2635,16084,0
7334631,66.124,-139.934,942.816,1084,-2294,15456,0
7334667,69.418,-162.077,982.954,1138,-2657,16114,0
7334705,67.100,-167.018,966.118,1100,-2738,15838,0
7334744,88.206,-187.819,960.079,1446,-3079,15739,0
7334780,66.612,-176.534,977.830,1092,-2894,16030,0
7334816,111.630,-163.907,962.946,1830,-2687,15786,0
7334853,94.184,-176.107,989.969,1544,-2887,16229,0
7334891,94.611,-195.993,995.154,1551,-3213,16314,0
7334928,89.548,-184.220,976.915,1468,-3020,16015,0
7334968,80.398,-204.533,1003.084,1318,-3353,16444,0
7335005,46.421,-190.991,1035.292,761,-3131,16972,0
7335039,37.698,-198.250,1055.849,618,-3250,17309,0
7335077,13.786,-180.621,1084.336,226,-2961,17776,0
7335114,23.912,-212.219,1084.824,392,-3479,17784,0
7335150,21.106,-198.250,1088.545,346,-3250,17845,0
7335189,23.424,-181.048,1111.420,384,-2968,18220,0
7335225,13.786,-176.046,1124.047,226,-2886,18427,0
7335263,18.849,-144.936,1138.016,309,-2376,18656,0
7335299,32.635,-108.336,1129.598,535,-1776,18518,0
7335336,4.148,-122.732,1138.504,68,-2012,18664,0
7335374,18.361,-72.163,1126.792,301,-1183,18472,0
7335411,0.915,-30.622,1138.504,15,-502,18664,0
7335450,-14.274,-7.564,1165.588,-234,-124,19108,0
7335489,-10.126,28.121,1141.310,-166,461,18710,0
7335523,-29.402,54.290,1151.558,-482,890,18878,0
7335560,-32.147,76.494,1136.186,-527,1254,18626,0
7335597,-32.147,111.752,1159.976,-527,1832,19016,0
7335634,-37.210,121.146,1144.116,-610,1986,18756,0
7335672,-48.678,141.032,1177.727,-798,2312,19307,0
7335708,-43.615,156.404,1139.419,-715,2564,18679,0
7335748,-72.102,163.236,1145.946,-1182,2676,18786,0
7335783,-80.825,174.094,1145.031,-1325,2854,18771,0
7335820,-71.187,174.033,1123.132,-1167,2853,18412,0
7335862,-77.165,177.632,1129.171,-1265,2912,18511,0
7335895,-66.124,194.407,1095.072,-1084,3187,17952,0
7335932,-62.464,198.860,1110.017,-1024,3260,18197,0
7335968,-36.722,200.202,1088.972,-602,3282,17852,0
7336010,-9.150,200.690,1077.321,-150,3290,17661,0
7336043,-4.636,150.548,1064.206,-76,2468,17446,0
7336081,32.574,166.835,1051.640,534,2735,17240,0
7336117,24.766,138.348,1020.347,406,2268,16727,0
7336155,33.977,150.121,1016.626,557,2461,16666,0
7336194,36.295,131.150,1026.386,595,2150,16826,0
7336229,30.378,106.750,1000.766,498,1750,16406,0
7336266,11.956,70.577,1008.696,196,1157,16536,0
7336302,12.444,48.434,985.760,204,794,16160,0
7336341,25.742,32.635,987.163,422,535,16183,0
7336378,28.060,-2.196,987.163,460,-36,16183,0
7336415,24.827,-42.822,962.458,407,-702,15778,0
7336452,22.509,-96.624,968.070,369,-1584,15870,0
7336493,26.230,-89.792,954.467,430,-1472,15647,0
7336527,30.317,-122.732,961.055,497,-2012,15755,0
7336564,43.615,-127.246,945.622,715,-2086,15502,0
7336601,34.892,-157.136,940.010,572,-2576,15410,0
