# STEVAL-MKI168V1 (IIS2DH) 

time[us],acc_x[mg],acc_y[mg],acc_z[mg],acc_x[LSB],acc_y[LSB],acc_z[LSB],int_1,int_2
106085020,674.000,200.000,-611.000,674,200,-611,0,0
106085653,747.000,209.000,-621.000,747,209,-621,0,0
106086405,711.000,187.000,-639.000,711,187,-639,0,0
106087163,692.000,207.000,-597.000,692,207,-597,0,0
106087914,754.000,200.000,-645.000,754,200,-645,0,0
106088666,681.000,187.000,-630.000,681,187,-630,0,0
106089417,721.000,208.000,-609.000,721,208,-609,0,0
106090169,731.000,191.000,-649.000,731,191,-649,0,0
106090921,670.000,197.000,-611.000,670,197,-611,0,0
106091680,741.000,208.000,-633.000,741,208,-633,0,0
106092432,707.000,193.000,-652.000,707,193,-652,0,0
106093184,695.000,211.000,-609.000,695,211,-609,0,0
106093937,750.000,208.000,-648.000,750,208,-648,0,0
106094688,676.000,198.000,-632.000,676,198,-632,0,0
106095448,721.000,211.000,-609.000,721,211,-609,0,0
106096199,727.000,193.000,-650.000,727,193,-650,0,0
106096951,671.000,203.000,-614.000,671,203,-614,0,0
106097702,743.000,213.000,-639.000,743,213,-639,0,0
106098454,700.000,190.000,-653.000,700,190,-653,0,0
106099206,693.000,211.000,-616.000,693,211,-616,0,0
106099959,751.000,204.000,-652.000,751,204,-652,0,0
106100718,676.000,196.000,-625.000,676,196,-625,0,0
106101470,727.000,214.000,-607.000,727,214,-607,0,0
106102222,730.000,193.000,-651.000,730,193,-651,0,0
106102975,668.000,202.000,-612.000,668,202,-612,0,0
106103726,743.000,207.000,-629.000,743,207,-629,0,0
106104478,696.000,189.000,-643.000,696,189,-643,0,0
106105230,694.000,209.000,-598.000,694,209,-598,0,0
106105983,751.000,198.000,-647.000,751,198,-647,0,0
106106743,674.000,189.000,-621.000,674,189,-621,0,0
106107495,725.000,208.000,-605.000,725,208,-605,0,0
106108247,724.000,186.000,-644.000,724,186,-644,0,0
106109000,672.000,203.000,-604.000,672,203,-604,0,0
106109750,748.000,208.000,-620.000,748,208,-620,0,0
106110502,685.000,188.000,-630.000,685,188,-630,0,0
106111253,694.000,206.000,-594.000,694,206,-594,0,0
106112014,747.000,198.000,-634.000,747,198,-634,0,0
106112764,671.000,193.000,-607.000,671,193,-607,0,0
106113516,727.000,206.000,-605.000,727,206,-605,0,0
106114268,722.000,188.000,-642.000,722,188,-642,0,0
106115020,672.000,200.000,-600.000,672,200,-600,0,0
106115772,750.000,205.000,-625.000,750,205,-625,0,0
106116532,688.000,185.000,-624.000,688,185,-624,0,0
106117283,696.000,202.000,-596.000,696,202,-596,0,0
106118035,740.000,196.000,-637.000,740,196,-637,0,0
106118787,672.000,194.000,-605.000,672,194,-605,0,0
106119539,735.000,208.000,-612.000,735,208,-612,0,0
106120290,722.000,188.000,-640.000,722,188,-640,0,0
106121050,676.000,198.000,-599.000,676,198,-599,0,0
106121802,746.000,200.000,-631.000,746,200,-631,0,0
106122554,682.000,186.000,-628.000,682,186,-628,0,0
106123305,703.000,211.000,-604.000,703,211,-604,0,0
106124057,739.000,198.000,-653.000,739,198,-653,0,0
106124809,664.000,197.000,-619.000,664,197,-619,0,0
106125568,731.000,211.000,-618.000,731,211,-618,0,0
106126321,715.000,189.000,-650.000,715,189,-650,0,0
106127072,678.000,204.000,-608.000,678,204,-608,0,0
106127825,749.000,203.000,-638.000,749,203,-638,0,0
106128575,688.000,188.000,-640.000,688,188,-640,0,0
106129334,705.000,208.000,-616.000,705,208,-616,0,0
106130086,740.000,196.000,-655.000,740,196,-655,0,0
106130839,671.000,189.000,-622.000,671,189,-622,0,0
106131589,734.000,208.000,-625.000,734,208,-625,0,0
106132341,715.000,189.000,-655.000,715,189,-655,0,0
106133100,685.000,207.000,-614.000,685,207,-614,0,0
106133852,752.000,204.000,-642.000,752,204,-642,0,0
106134604,684.000,188.000,-635.000,684,188,-635,0,0
106135355,709.000,208.000,-606.000,709,208,-606,0,0
106136105,744.000,191.000,-648.000,744,191,-648,0,0
106136865,675.000,194.000,-611.000,675,194,-611,0,0
106137617,738.000,209.000,-623.000,738,209,-623,0,0
106138369,709.000,191.000,-646.000,709,191,-646,0,0
106139121,681.000,207.000,-596.000,681,207,-596,0,0
106139873,754.000,209.000,-635.000,754,209,-635,0,0
106140624,689.000,196.000,-625.000,689,196,-625,0,0
106141376,719.000,211.000,-606.000,719,211,-606,0,0
106142129,743.000,194.000,-649.000,743,194,-649,0,0
106142889,674.000,203.000,-615.000,674,203,-615,0,0
106143639,746.000,211.000,-624.000,746,211,-624,0,0
106144391,704.000,189.000,-647.000,704,189,-647,0,0
106145143,679.000,207.000,-604.000,679,207,-604,0,0
106145895,742.000,202.000,-643.000,742,202,-643,0,0
106146647,670.000,193.000,-627.000,670,193,-627,0,0
106147406,711.000,209.000,-599.000,711,209,-599,0,0
106148159,734.000,191.000,-640.000,734,191,-640,0,0
106148911,669.000,202.000,-608.000,669,202,-608,0,0
106149663,740.000,211.000,-627.000,740,211,-627,0,0
106150414,702.000,196.000,-638.000,702,196,-638,0,0
106151167,683.000,212.000,-598.000,683,212,-598,0,0
106151918,744.000,203.000,-640.000,744,203,-640,0,0
106152678,674.000,194.000,-628.000,674,194,-628,0,0
106153429,712.000,212.000,-609.000,712,212,-609,0,0
106154181,730.000,197.000,-649.000,730,197,-649,0,0
106154932,669.000,206.000,-610.000,669,206,-610,0,0
106155683,746.000,220.000,-623.000,746,220,-623,0,0
106156443,703.000,197.000,-642.000,703,197,-642,0,0
106157195,691.000,217.000,-601.000,691,217,-601,0,0
106157947,747.000,208.000,-635.000,747,208,-635,0,0
106158698,676.000,192.000,-618.000,676,192,-618,0,0
106159451,724.000,216.000,-606.000,724,216,-606,0,0
106160202,731.000,199.000,-644.000,731,199,-644,0,0
106160962,672.000,205.000,-603.000,672,205,-603,0,0
106161714,744.000,211.000,-623.000,744,211,-623,0,0
106162464,699.000,191.000,-639.000,699,191,-639,0,0
106163224,693.000,207.000,-597.000,693,207,-597,0,0
106163976,748.000,200.000,-632.000,748,200,-632,0,0
106164728,676.000,199.000,-618.000,676,199,-618,0,0
106165480,727.000,212.000,-602.000,727,212,-602,0,0
106166232,730.000,191.000,-648.000,730,191,-648,0,0
106166992,676.000,200.000,-606.000,676,200,-606,0,0
106167744,751.000,212.000,-622.000,751,212,-622,0,0
106168496,694.000,191.000,-638.000,694,191,-638,0,0
106169248,694.000,211.000,-601.000,694,211,-601,0,0
106170001,746.000,201.000,-636.000,746,201,-636,0,0
106170753,675.000,201.000,-607.000,675,201,-607,0,0
106171505,730.000,215.000,-600.000,730,215,-600,0,0
106172265,721.000,192.000,-640.000,721,192,-640,0,0
106173017,669.000,204.000,-603.000,669,204,-603,0,0
106173769,742.000,204.000,-629.000,742,204,-629,0,0
106174521,687.000,190.000,-631.000,687,190,-631,0,0
106175273,698.000,212.000,-592.000,698,212,-592,0,0
106176025,745.000,194.000,-643.000,745,194,-643,0,0
106176777,674.000,192.000,-620.000,674,192,-620,0,0
106177529,730.000,207.000,-615.000,730,207,-615,0,0
106178288,718.000,191.000,-652.000,718,191,-652,0,0
106179040,672.000,203.000,-609.000,672,203,-609,0,0
106179792,747.000,205.000,-624.000,747,205,-624,0,0
106180544,690.000,189.000,-635.000,690,189,-635,0,0
106181296,705.000,211.000,-605.000,705,211,-605,0,0
106182056,747.000,197.000,-644.000,747,197,-644,0,0
106182808,677.000,193.000,-605.000,677,193,-605,0,0
106183560,730.000,211.000,-611.000,730,211,-611,0,0
106184312,715.000,191.000,-638.000,715,191,-638,0,0
106185064,673.000,203.000,-599.000,673,203,-599,0,0
106185817,750.000,201.000,-629.000,750,201,-629,0,0
106186575,685.000,188.000,-633.000,685,188,-633,0,0
106187327,704.000,211.000,-608.000,704,211,-608,0,0
106188080,743.000,200.000,-657.000,743,200,-657,0,0
106188831,667.000,202.000,-615.000,667,202,-615,0,0
106189582,735.000,214.000,-610.000,735,214,-610,0,0
106190334,713.000,189.000,-640.000,713,189,-640,0,0
106191086,678.000,205.000,-597.000,678,205,-597,0,0
106191847,751.000,205.000,-627.000,751,205,-627,0,0
106192597,684.000,190.000,-624.000,684,190,-624,0,0
106193347,708.000,208.000,-601.000,708,208,-601,0,0
106194100,744.000,196.000,-648.000,744,196,-648,0,0
106194859,674.000,198.000,-614.000,674,198,-614,0,0
106195610,740.000,213.000,-626.000,740,213,-626,0,0
106196362,708.000,192.000,-649.000,708,192,-649,0,0
106197114,683.000,203.000,-602.000,683,203,-602,0,0
106197865,753.000,201.000,-641.000,753,201,-641,0,0
106198616,680.000,190.000,-635.000,680,190,-635,0,0
106199376,712.000,209.000,-613.000,712,209,-613,0,0
106200128,737.000,197.000,-651.000,737,197,-651,0,0
106200881,671.000,199.000,-619.000,671,199,-619,0,0
106201633,743.000,209.000,-632.000,743,209,-632,0,0
106202385,707.000,185.000,-644.000,707,185,-644,0,0
106203137,684.000,202.000,-602.000,684,202,-602,0,0
106203889,750.000,200.000,-643.000,750,200,-643,0,0
106204639,680.000,187.000,-625.000,680,187,-625,0,0
106205398,719.000,207.000,-601.000,719,207,-601,0,0
106206151,740.000,192.000,-648.000,740,192,-648,0,0
106206903,671.000,195.000,-613.000,671,195,-613,0,0
106207655,744.000,208.000,-621.000,744,208,-621,0,0
106208406,702.000,190.000,-643.000,702,190,-643,0,0
106209159,681.000,202.000,-601.000,681,202,-601,0,0
106209911,745.000,195.000,-643.000,745,195,-643,0,0
106210671,675.000,190.000,-634.000,675,190,-634,0,0
106211423,715.000,211.000,-611.000,715,211,-611,0,0
106212175,735.000,194.000,-649.000,735,194,-649,0,0
106212926,674.000,199.000,-618.000,674,199,-618,0,0
106213678,742.000,208.000,-632.000,742,208,-632,0,0
106214430,699.000,189.000,-650.000,699,189,-650,0,0
106215190,684.000,206.000,-603.000,684,206,-603,0,0
106215942,751.000,198.000,-644.000,751,198,-644,0,0
106216692,677.000,185.000,-629.000,677,185,-629,0,0
106217445,721.000,206.000,-611.000,721,206,-611,0,0
106218197,733.000,189.000,-651.000,733,189,-651,0,0
106218956,672.000,199.000,-605.000,672,199,-605,0,0
106219707,742.000,211.000,-625.000,742,211,-625,0,0
106220459,700.000,192.000,-643.000,700,192,-643,0,0
106221211,696.000,206.000,-602.000,696,206,-602,0,0
106221963,754.000,200.000,-643.000,754,200,-643,0,0
106222722,678.000,191.000,-618.000,678,191,-618,0,0
106223474,726.000,214.000,-615.000,726,214,-615,0,0
106224226,731.000,193.000,-649.000,731,193,-649,0,0
106224978,672.000,203.000,-605.000,672,203,-605,0,0
106225730,745.000,208.000,-626.000,745,208,-626,0,0
106226489,696.000,191.000,-636.000,696,191,-636,0,0
106227241,696.000,208.000,-598.000,696,208,-598,0,0
106227993,752.000,197.000,-644.000,752,197,-644,0,0
106228745,676.000,196.000,-623.000,676,196,-623,0,0
106229497,723.000,214.000,-606.000,723,214,-606,0,0
106230256,723.000,189.000,-641.000,723,189,-641,0,0
106231008,670.000,202.000,-599.000,670,202,-599,0,0
106231760,743.000,209.000,-626.000,743,209,-626,0,0
106232512,690.000,189.000,-638.000,690,189,-638,0,0
106233263,694.000,213.000,-604.000,694,213,-604,0,0
106234022,738.000,203.000,-657.000,738,203,-657,0,0
106234772,667.000,194.000,-628.000,667,194,-628,0,0
106235524,729.000,208.000,-615.000,729,208,-615,0,0
106236276,722.000,193.000,-641.000,722,193,-641,0,0
106237029,674.000,203.000,-600.000,674,203,-600,0,0
106237780,750.000,207.000,-630.000,750,207,-630,0,0
106238540,695.000,192.000,-636.000,695,192,-636,0,0
106239292,700.000,215.000,-605.000,700,215,-605,0,0
106240045,742.000,200.000,-638.000,742,200,-638,0,0
106240797,669.000,197.000,-615.000,669,197,-615,0,0
106241547,734.000,214.000,-614.000,734,214,-614,0,0
106242306,719.000,192.000,-651.000,719,192,-651,0,0
106243058,675.000,206.000,-605.000,675,206,-605,0,0
106243810,747.000,206.000,-630.000,747,206,-630,0,0
106244561,688.000,196.000,-629.000,688,196,-629,0,0
106245313,703.000,216.000,-595.000,703,216,-595,0,0
106246065,739.000,201.000,-638.000,739,201,-638,0,0
106246825,674.000,201.000,-610.000,674,201,-610,0,0
106247575,736.000,215.000,-613.000,736,215,-613,0,0
106248326,719.000,195.000,-643.000,719,195,-643,0,0
106249085,678.000,212.000,-601.000,678,212,-601,0,0
106249836,748.000,210.000,-636.000,748,210,-636,0,0
106250587,681.000,194.000,-633.000,681,194,-633,0,0
106251339,703.000,216.000,-606.000,703,216,-606,0,0
106252098,740.000,198.000,-646.000,740,198,-646,0,0
106252850,669.000,204.000,-618.000,669,204,-618,0,0
106253600,740.000,215.000,-619.000,740,215,-619,0,0
106254352,712.000,198.000,-640.000,712,198,-640,0,0
106255113,678.000,210.000,-599.000,678,210,-599,0,0
106255865,746.000,206.000,-637.000,746,206,-637,0,0
106256617,681.000,193.000,-633.000,681,193,-633,0,0
106257369,713.000,218.000,-604.000,713,218,-604,0,0
106258121,739.000,200.000,-643.000,739,200,-643,0,0
106258873,672.000,204.000,-606.000,672,204,-606,0,0
106259633,740.000,215.000,-624.000,740,215,-624,0,0
106260385,706.000,195.000,-645.000,706,195,-645,0,0
106261137,682.000,215.000,-591.000,682,215,-591,0,0
106261889,745.000,208.000,-633.000,745,208,-633,0,0
106262639,677.000,198.000,-624.000,677,198,-624,0,0
106263392,708.000,218.000,-607.000,708,218,-607,0,0
106264151,731.000,201.000,-647.000,731,201,-647,0,0
106264904,668.000,207.000,-606.000,668,207,-606,0,0
106265655,739.000,216.000,-620.000,739,216,-620,0,0
106266407,701.000,193.000,-639.000,701,193,-639,0,0
106267159,683.000,212.000,-599.000,683,212,-599,0,0
106267911,747.000,205.000,-635.000,747,205,-635,0,0
106268671,675.000,195.000,-615.000,675,195,-615,0,0
106269423,717.000,218.000,-605.000,717,218,-605,0,0
106270175,734.000,198.000,-643.000,734,198,-643,0,0
106270926,672.000,203.000,-600.000,672,203,-600,0,0
106271678,745.000,215.000,-621.000,745,215,-621,0,0
106272438,699.000,192.000,-634.000,699,192,-634,0,0
106273189,689.000,212.000,-608.000,689,212,-608,0,0
106273940,748.000,209.000,-642.000,748,209,-642,0,0
106274692,669.000,202.000,-622.000,669,202,-622,0,0
106275444,710.000,215.000,-606.000,710,215,-606,0,0
106276202,724.000,195.000,-645.000,724,195,-645,0,0
106276954,668.000,203.000,-606.000,668,203,-606,0,0
106277705,747.000,213.000,-628.000,747,213,-628,0,0
106278457,694.000,194.000,-639.000,694,194,-639,0,0
106279217,691.000,211.000,-604.000,691,211,-604,0,0
106279968,752.000,206.000,-641.000,752,206,-641,0,0
106280720,672.000,192.000,-617.000,672,192,-617,0,0
106281472,719.000,212.000,-602.000,719,212,-602,0,0
106282224,726.000,194.000,-646.000,726,194,-646,0,0
106282976,666.000,202.000,-596.000,666,202,-596,0,0
106283736,741.000,209.000,-615.000,741,209,-615,0,0
106284488,694.000,190.000,-636.000,694,190,-636,0,0
106285241,693.000,209.000,-596.000,693,209,-596,0,0
106285993,749.000,195.000,-641.000,749,195,-641,0,0
106286745,674.000,193.000,-617.000,674,193,-617,0,0
106287497,727.000,213.000,-614.000,727,213,-614,0,0
106288257,724.000,195.000,-647.000,724,195,-647,0,0
106289009,672.000,205.000,-609.000,672,205,-609,0,0
106289761,748.000,208.000,-633.000,748,208,-633,0,0
106290513,693.000,188.000,-636.000,693,188,-636,0,0
106291272,700.000,209.000,-598.000,700,209,-598,0,0
106292023,742.000,198.000,-649.000,742,198,-649,0,0
106292775,670.000,192.000,-622.000,670,192,-622,0,0
106293527,730.000,212.000,-614.000,730,212,-614,0,0
106294279,719.000,191.000,-646.000,719,191,-646,0,0
106295039,678.000,205.000,-601.000,678,205,-601,0,0
