=== Résumé acquisition ===
Fréquence théorique (Hz),1344.00
Écart moyen (µs),750.23
Écart min (µs),745
Écart max (µs),755
Fréquence moyenne (Hz),1332.92
Fréquence min (Hz),1324.50
Fréquence max (Hz),1342.28

t(us),X(mg),Y(mg),Z(mg)
3654,-15.68,33.32,-874.16
4404,-12.74,31.36,-875.14
5156,-8.82,29.40,-870.24
5906,-6.86,29.40,-865.34
6655,-8.82,29.40,-867.30
7405,-7.84,28.42,-870.24
8155,-7.84,26.46,-870.24
8905,-10.78,29.40,-862.40
9656,-7.84,34.30,-870.24
10406,-7.84,35.28,-877.10
11156,-9.80,34.30,-870.24
11906,-8.82,32.34,-868.28
12656,-6.86,30.38,-869.26
13406,-4.90,29.40,-876.12
14156,-7.84,32.34,-868.28
14906,-11.76,29.40,-871.22
15656,-15.68,30.38,-866.32
16406,-12.74,30.38,-871.22
17156,-6.86,34.30,-869.26
17907,-5.88,36.26,-869.26
18657,-4.90,33.32,-874.16
19407,-6.86,33.32,-874.16
20157,-6.86,36.26,-874.16
20907,-6.86,37.24,-866.32
21657,-7.84,34.30,-873.18
22407,-4.90,36.26,-865.34
23158,-11.76,34.30,-871.22
23908,-9.80,31.36,-870.24
24658,-8.82,30.38,-867.30
25408,-4.90,31.36,-877.10
26158,-8.82,31.36,-880.04
26908,-9.80,31.36,-873.18
27658,-8.82,31.36,-873.18
28408,-9.80,26.46,-867.30
29159,-10.78,31.36,-867.30
29909,-12.74,29.40,-868.28
30659,-8.82,31.36,-871.22
31409,-8.82,28.42,-870.24
32159,-8.82,29.40,-866.32
32908,-9.80,31.36,-869.26
33658,-10.78,31.36,-863.38
34409,-10.78,30.38,-861.42
35159,-10.78,29.40,-866.32
35909,-6.86,28.42,-861.42
36659,-10.78,33.32,-865.34
37409,-4.90,31.36,-861.42
38159,-6.86,32.34,-861.42
38909,-9.80,29.40,-866.32
39658,-8.82,27.44,-863.38
40408,-8.82,28.42,-863.38
41158,-13.72,29.40,-863.38
41908,-11.76,30.38,-868.28
42658,-8.82,30.38,-869.26
43408,-9.80,26.46,-868.28
44158,-9.80,31.36,-869.26
44907,-11.76,33.32,-866.32
45657,-7.84,32.34,-861.42
46407,-4.90,28.42,-865.34
47156,-7.84,30.38,-868.28
47907,-7.84,27.44,-870.24
48657,-10.78,29.40,-867.30
49407,-10.78,31.36,-870.24
50156,-12.74,30.38,-871.22
50907,-14.70,31.36,-864.36
51657,-14.70,30.38,-863.38
52407,-7.84,33.32,-868.28
53157,-14.70,32.34,-868.28
53907,-15.68,31.36,-866.32
54657,-13.72,31.36,-872.20
55407,-15.68,31.36,-872.20
56157,-10.78,31.36,-869.26
56907,-13.72,31.36,-867.30
57658,-8.82,32.34,-869.26
58407,-9.80,32.34,-871.22
59158,-10.78,33.32,-875.14
59908,-13.72,29.40,-870.24
60658,-11.76,25.48,-870.24
61408,-11.76,23.52,-870.24
62158,-11.76,25.48,-867.30
62908,-9.80,29.40,-865.34
63658,-9.80,32.34,-870.24
64408,-6.86,34.30,-868.28
65158,-7.84,36.26,-868.28
65908,-6.86,35.28,-870.24
66659,-10.78,30.38,-876.12
67409,-9.80,32.34,-879.06
68159,-14.70,34.30,-864.36
68909,-10.78,32.34,-862.40
69660,-16.66,29.40,-869.26
70410,-14.70,29.40,-869.26
71160,-11.76,30.38,-864.36
71911,-13.72,26.46,-866.32
72661,-12.74,31.36,-872.20
73411,-11.76,31.36,-871.22
74161,-14.70,32.34,-863.38
74911,-14.70,34.30,-870.24
75661,-8.82,30.38,-868.28
76413,-11.76,28.42,-873.18
77162,-10.78,30.38,-875.14
77912,-7.84,28.42,-870.24
78663,-7.84,30.38,-870.24
79413,-8.82,28.42,-871.22
80163,-10.78,33.32,-865.34
80914,-9.80,33.32,-869.26
81664,-9.80,33.32,-870.24
82415,-9.80,34.30,-866.32
83165,-8.82,29.40,-868.28
83915,-9.80,33.32,-866.32
84665,-9.80,30.38,-866.32
85415,-9.80,33.32,-872.20
86165,-8.82,32.34,-868.28
86915,-6.86,35.28,-873.18
87665,-7.84,33.32,-874.16
88415,-11.76,30.38,-872.20
89165,-6.86,29.40,-869.26
89915,-10.78,29.40,-862.40
90665,-14.70,33.32,-871.22
91414,-12.74,33.32,-880.04
92165,-11.76,30.38,-873.18
92914,-6.86,30.38,-871.22
93664,-9.80,33.32,-866.32
94414,-8.82,28.42,-867.30
95164,-13.72,29.40,-869.26
95914,-14.70,32.34,-866.32
96664,-9.80,34.30,-860.44
97414,-9.80,28.42,-864.36
98165,-10.78,29.40,-869.26
98915,-8.82,28.42,-871.22
99665,-9.80,25.48,-876.12
100415,-11.76,29.40,-872.20
101165,-10.78,29.40,-870.24
101915,-10.78,30.38,-875.14
102666,-10.78,31.36,-876.12
103416,-10.78,28.42,-870.24
104166,-10.78,28.42,-873.18
104916,-7.84,29.40,-869.26
105666,-10.78,30.38,-873.18
106416,-10.78,33.32,-869.26
107166,-12.74,30.38,-870.24
107916,-14.70,30.38,-868.28
108666,-13.72,29.40,-861.42
109416,-10.78,27.44,-864.36
110166,-8.82,25.48,-863.38
110916,-6.86,29.40,-869.26
111666,-9.80,28.42,-865.34
112417,-6.86,32.34,-863.38
113166,-9.80,31.36,-870.24
113916,-7.84,31.36,-870.24
114666,-10.78,32.34,-869.26
115416,-10.78,28.42,-861.42
116166,-7.84,29.40,-869.26
116916,-7.84,32.34,-872.20
117665,-11.76,33.32,-871.22
118416,-9.80,28.42,-869.26
119166,-10.78,28.42,-874.16
119916,-8.82,30.38,-874.16
120666,-9.80,29.40,-872.20
121416,-14.70,30.38,-866.32
122166,-10.78,31.36,-868.28
122917,-6.86,29.40,-871.22
123667,-5.88,35.28,-872.20
124417,-9.80,31.36,-875.14
125167,-9.80,28.42,-876.12
125917,-13.72,31.36,-870.24
126668,-16.66,34.30,-866.32
127418,-11.76,32.34,-871.22
128168,-7.84,27.44,-867.30
128918,-8.82,30.38,-866.32
129669,-8.82,33.32,-873.18
130419,-10.78,33.32,-870.24
131169,-13.72,33.32,-871.22
131919,-11.76,34.30,-872.20
132669,-10.78,30.38,-870.24
133420,-6.86,28.42,-872.20
134170,-6.86,28.42,-872.20
134920,-6.86,30.38,-867.30
135670,-6.86,28.42,-864.36
136420,-6.86,33.32,-871.22
137174,-3.92,33.32,-870.24
137923,-9.80,32.34,-866.32
138675,-10.78,34.30,-869.26
139422,-7.84,30.38,-871.22
140172,-8.82,33.32,-865.34
140922,-7.84,32.34,-867.30
141672,-7.84,33.32,-864.36
142422,-8.82,32.34,-859.46
143172,-9.80,31.36,-866.32
143922,-7.84,29.40,-867.30
144672,-10.78,31.36,-864.36
145422,-12.74,31.36,-871.22
146172,-11.76,27.44,-867.30
146923,-10.78,29.40,-870.24
147673,-9.80,29.40,-870.24
148424,-10.78,27.44,-871.22
149174,-7.84,29.40,-873.18
149924,-4.90,30.38,-870.24
150675,-6.86,27.44,-867.30
151425,-7.84,28.42,-857.50
152175,-14.70,28.42,-865.34
152925,-13.72,32.34,-872.20
153675,-15.68,33.32,-870.24
154425,-14.70,28.42,-870.24
155175,-12.74,30.38,-870.24
155928,-10.78,30.38,-872.20
156675,-6.86,30.38,-873.18
157426,-6.86,30.38,-872.20
158177,-9.80,30.38,-867.30
158925,-10.78,28.42,-865.34
159675,-14.70,28.42,-863.38
160426,-7.84,30.38,-871.22
161176,-10.78,32.34,-864.36
161926,-13.72,34.30,-866.32
