=== Résumé acquisition ===
Fréquence théorique (Hz),1344.00
Écart moyen (µs),749.93
Écart min (µs),745
Écart max (µs),755
Fréquence moyenne (Hz),1333.45
Fréquence min (Hz),1324.50
Fréquence max (Hz),1342.28

t(us),X(mg),Y(mg),Z(mg)
3626,-11.76,29.40,-858.48
4376,-14.70,31.36,-868.28
5125,-13.72,31.36,-868.28
5873,-7.84,31.36,-865.34
6622,-8.82,32.34,-872.20
7372,-4.90,31.36,-867.30
8121,-7.84,34.30,-867.30
8871,-9.80,31.36,-863.38
9620,-9.80,28.42,-863.38
10370,-9.80,29.40,-865.34
11120,-10.78,27.44,-867.30
11869,-11.76,29.40,-867.30
12619,-11.76,27.44,-865.34
13369,-10.78,28.42,-872.20
14118,-11.76,29.40,-866.32
14868,-10.78,30.38,-869.26
15618,-11.76,29.40,-864.36
16367,-9.80,31.36,-867.30
17117,-12.74,32.34,-869.26
17866,-5.88,35.28,-871.22
18615,-9.80,32.34,-870.24
19364,-7.84,35.28,-870.24
20115,-8.82,32.34,-863.38
20863,-12.74,33.32,-861.42
21613,-10.78,32.34,-869.26
22363,-11.76,26.46,-871.22
23112,-9.80,28.42,-871.22
23862,-11.76,26.46,-870.24
24612,-11.76,29.40,-868.28
25362,-12.74,26.46,-865.34
26112,-10.78,28.42,-865.34
26861,-9.80,27.44,-867.30
27611,-7.84,27.44,-865.34
28361,-8.82,28.42,-859.46
29111,-7.84,29.40,-857.50
29861,-14.70,29.40,-866.32
30611,-14.70,30.38,-863.38
31361,-15.68,25.48,-864.36
32110,-13.72,27.44,-868.28
32860,-8.82,29.40,-872.20
33610,-12.74,29.40,-861.42
34359,-9.80,26.46,-867.30
35109,-8.82,30.38,-873.18
35859,-14.70,33.32,-872.20
36608,-12.74,31.36,-875.14
37358,-11.76,26.46,-880.04
38108,-12.74,30.38,-876.12
38858,-14.70,29.40,-877.10
39607,-12.74,28.42,-868.28
40357,-12.74,27.44,-865.34
41107,-11.76,29.40,-869.26
41857,-11.76,26.46,-873.18
42606,-9.80,29.40,-862.40
43356,-13.72,29.40,-865.34
44105,-11.76,32.34,-869.26
44855,-11.76,31.36,-869.26
45605,-6.86,36.26,-873.18
46355,-9.80,35.28,-866.32
47104,-12.74,33.32,-869.26
47854,-13.72,35.28,-868.28
48603,-12.74,28.42,-870.24
49353,-8.82,31.36,-873.18
50103,-11.76,34.30,-870.24
50853,-10.78,31.36,-869.26
51602,-6.86,30.38,-865.34
52352,-9.80,29.40,-870.24
53103,-11.76,27.44,-873.18
53853,-12.74,25.48,-865.34
54602,-10.78,27.44,-869.26
55352,-11.76,30.38,-866.32
56102,-8.82,33.32,-864.36
56851,-10.78,29.40,-866.32
57601,-8.82,30.38,-868.28
58351,-8.82,30.38,-865.34
59101,-6.86,32.34,-866.32
59850,-12.74,28.42,-870.24
60600,-10.78,27.44,-867.30
61350,-8.82,29.40,-876.12
62099,-9.80,25.48,-863.38
62849,-10.78,29.40,-859.46
63599,-10.78,26.46,-868.28
64348,-8.82,28.42,-872.20
65098,-10.78,29.40,-872.20
65847,-7.84,27.44,-872.20
66597,-14.70,30.38,-875.14
67347,-10.78,29.40,-868.28
68096,-14.70,29.40,-866.32
68846,-10.78,29.40,-868.28
69595,-7.84,27.44,-868.28
70345,-9.80,30.38,-862.40
71094,-10.78,32.34,-860.44
71844,-12.74,33.32,-864.36
72594,-11.76,30.38,-868.28
73344,-11.76,29.40,-868.28
74093,-11.76,32.34,-866.32
74844,-11.76,35.28,-865.34
75593,-10.78,35.28,-869.26
76343,-9.80,34.30,-870.24
77093,-12.74,33.32,-865.34
77843,-12.74,32.34,-865.34
78593,-8.82,32.34,-865.34
79342,-7.84,32.34,-858.48
80091,-9.80,33.32,-865.34
80841,-10.78,33.32,-874.16
81590,-7.84,35.28,-878.08
82340,-4.90,32.34,-868.28
83090,-5.88,32.34,-871.22
83839,-8.82,31.36,-870.24
