=== Résumé acquisition ===
Fréquence théorique (Hz),1344.00
Écart moyen (µs),750.12
Écart min (µs),745
Écart max (µs),755
Fréquence moyenne (Hz),1333.13
Fréquence min (Hz),1324.50
Fréquence max (Hz),1342.28

t(us),X(mg),Y(mg),Z(mg)
138835,-32.34,17.64,-868.28
139586,-27.44,18.62,-865.34
140336,-25.48,19.60,-863.38
141087,-27.44,18.62,-861.42
141837,-27.44,20.58,-864.36
142587,-30.38,18.62,-868.28
143338,-28.42,17.64,-870.24
144088,-31.36,15.68,-876.12
144839,-29.40,13.72,-880.04
145589,-33.32,17.64,-876.12
146339,-39.20,16.66,-873.18
147090,-35.28,15.68,-869.26
147840,-32.34,14.70,-864.36
148590,-30.38,13.72,-869.26
149340,-31.36,17.64,-874.16
150090,-30.38,14.70,-868.28
150841,-26.46,16.66,-868.28
151591,-30.38,13.72,-860.44
152341,-32.34,12.74,-867.30
153092,-33.32,13.72,-864.36
153841,-29.40,16.66,-861.42
154592,-30.38,15.68,-868.28
155342,-29.40,14.70,-865.34
156092,-28.42,18.62,-866.32
156842,-29.40,21.56,-871.22
157592,-28.42,18.62,-872.20
158342,-31.36,16.66,-872.20
159092,-26.46,17.64,-870.24
159842,-33.32,14.70,-869.26
160592,-29.40,16.66,-871.22
161343,-26.46,18.62,-876.12
162093,-28.42,17.64,-865.34
162843,-28.42,16.66,-864.36
163593,-29.40,18.62,-869.26
164343,-25.48,19.60,-861.42
165093,-23.52,16.66,-862.40
165843,-24.50,15.68,-862.40
166593,-31.36,15.68,-866.32
167344,-30.38,11.76,-858.48
168094,-31.36,12.74,-862.40
168844,-29.40,12.74,-870.24
169595,-31.36,16.66,-871.22
170345,-34.30,16.66,-869.26
171095,-30.38,15.68,-867.30
171845,-29.40,13.72,-858.48
172595,-28.42,15.68,-860.44
173346,-28.42,14.70,-861.42
174096,-30.38,13.72,-865.34
174846,-29.40,11.76,-860.44
175596,-29.40,13.72,-869.26
176346,-28.42,15.68,-868.28
177096,-26.46,18.62,-871.22
177846,-24.50,16.66,-864.36
178597,-31.36,16.66,-871.22
179346,-34.30,17.64,-870.24
180097,-25.48,18.62,-868.28
180846,-23.52,14.70,-864.36
181597,-27.44,11.76,-869.26
182346,-25.48,15.68,-866.32
183097,-27.44,15.68,-865.34
183847,-28.42,19.60,-864.36
184597,-25.48,18.62,-863.38
185347,-28.42,16.66,-859.46
186097,-27.44,21.56,-862.40
186847,-28.42,19.60,-866.32
187597,-31.36,18.62,-864.36
188347,-28.42,13.72,-866.32
189098,-31.36,15.68,-861.42
189848,-34.30,16.66,-865.34
190599,-31.36,15.68,-866.32
191349,-32.34,14.70,-872.20
192099,-35.28,12.74,-872.20
192849,-27.44,17.64,-866.32
193599,-30.38,19.60,-865.34
194349,-27.44,17.64,-860.44
195100,-32.34,14.70,-863.38
195850,-29.40,14.70,-862.40
196600,-28.42,11.76,-864.36
197350,-28.42,16.66,-867.30
198100,-26.46,14.70,-870.24
198850,-29.40,17.64,-874.16
199600,-25.48,16.66,-872.20
200350,-26.46,16.66,-867.30
201100,-31.36,18.62,-872.20
201850,-27.44,22.54,-872.20
202600,-31.36,21.56,-875.14
203350,-27.44,19.60,-872.20
204100,-27.44,15.68,-875.14
204850,-31.36,15.68,-864.36
205600,-28.42,12.74,-867.30
206351,-32.34,15.68,-865.34
207100,-26.46,16.66,-865.34
207851,-27.44,18.62,-873.18
208602,-27.44,17.64,-874.16
209354,-35.28,14.70,-877.10
210104,-33.32,15.68,-872.20
210854,-32.34,13.72,-873.18
211603,-31.36,13.72,-868.28
212353,-33.32,10.78,-864.36
213102,-31.36,11.76,-862.40
213853,-32.34,11.76,-870.24
214603,-31.36,16.66,-870.24
215353,-27.44,16.66,-867.30
216104,-32.34,15.68,-868.28
216854,-30.38,13.72,-869.26
217604,-33.32,13.72,-867.30
218354,-32.34,15.68,-865.34
219104,-32.34,16.66,-869.26
219854,-28.42,16.66,-864.36
220604,-25.48,15.68,-863.38
221354,-28.42,13.72,-865.34
222104,-28.42,15.68,-867.30
222854,-27.44,15.68,-865.34
223605,-30.38,15.68,-860.44
224354,-30.38,14.70,-865.34
225104,-31.36,17.64,-873.18
225854,-30.38,17.64,-865.34
226605,-29.40,14.70,-868.28
227354,-29.40,19.60,-864.36
228104,-32.34,24.50,-873.18
228855,-32.34,19.60,-866.32
229605,-28.42,19.60,-868.28
230355,-27.44,17.64,-868.28
231106,-26.46,15.68,-865.34
231856,-27.44,13.72,-865.34
232606,-31.36,10.78,-866.32
233356,-32.34,12.74,-872.20
234106,-31.36,13.72,-868.28
234858,-31.36,17.64,-867.30
235608,-33.32,15.68,-869.26
236357,-35.28,14.70,-865.34
237110,-37.24,17.64,-869.26
237857,-36.26,16.66,-869.26
238607,-31.36,17.64,-871.22
239358,-30.38,14.70,-860.44
240107,-27.44,13.72,-864.36
240858,-31.36,15.68,-867.30
241608,-31.36,16.66,-871.22
242359,-28.42,14.70,-869.26
243109,-31.36,15.68,-867.30
243859,-34.30,18.62,-864.36
244609,-28.42,17.64,-865.34
245359,-26.46,18.62,-864.36
246110,-31.36,18.62,-866.32
246860,-28.42,13.72,-871.22
247610,-32.34,13.72,-870.24
248360,-30.38,18.62,-870.24
249110,-26.46,16.66,-871.22
249861,-26.46,15.68,-866.32
250611,-29.40,13.72,-871.22
251361,-29.40,12.74,-871.22
252112,-31.36,12.74,-863.38
252861,-30.38,13.72,-864.36
253612,-31.36,13.72,-865.34
254362,-31.36,16.66,-866.32
255112,-29.40,16.66,-871.22
255862,-25.48,18.62,-869.26
256612,-31.36,13.72,-867.30
257363,-29.40,17.64,-863.38
258113,-28.42,15.68,-862.40
258863,-29.40,13.72,-867.30
259614,-32.34,14.70,-868.28
260364,-30.38,14.70,-868.28
261115,-27.44,15.68,-863.38
261865,-28.42,14.70,-869.26
262615,-27.44,12.74,-864.36
263365,-22.54,12.74,-866.32
264115,-24.50,15.68,-864.36
264865,-22.54,15.68,-865.34
265615,-25.48,15.68,-872.20
266365,-29.40,17.64,-867.30
267115,-26.46,16.66,-867.30
267865,-33.32,16.66,-869.26
268615,-35.28,12.74,-867.30
269365,-32.34,17.64,-866.32
270114,-30.38,15.68,-865.34
270864,-30.38,16.66,-865.34
271614,-30.38,17.64,-870.24
272364,-26.46,14.70,-865.34
273114,-28.42,13.72,-867.30
273864,-30.38,14.70,-868.28
274614,-31.36,13.72,-870.24
275365,-33.32,12.74,-866.32
276115,-31.36,16.66,-872.20
276865,-31.36,11.76,-870.24
277615,-32.34,12.74,-878.08
278365,-30.38,14.70,-876.12
279115,-25.48,14.70,-864.36
279865,-29.40,16.66,-873.18
280614,-28.42,18.62,-869.26
281365,-26.46,15.68,-865.34
282115,-31.36,13.72,-867.30
282865,-34.30,13.72,-868.28
283615,-32.34,14.70,-861.42
284365,-30.38,13.72,-869.26
285116,-30.38,15.68,-864.36
285865,-30.38,12.74,-859.46
286617,-32.34,13.72,-862.40
287366,-30.38,11.76,-867.30
288116,-28.42,12.74,-867.30
288867,-28.42,14.70,-860.44
289617,-31.36,15.68,-866.32
290367,-29.40,11.76,-873.18
291118,-28.42,12.74,-877.10
291868,-28.42,15.68,-866.32
292618,-25.48,19.60,-863.38
293369,-25.48,15.68,-862.40
294119,-27.44,15.68,-862.40
294869,-27.44,16.66,-867.30
295619,-28.42,16.66,-873.18
296370,-26.46,17.64,-874.16
297120,-26.46,15.68,-862.40
297870,-27.44,19.60,-861.42
298620,-30.38,19.60,-870.24
299370,-25.48,16.66,-864.36
300120,-30.38,18.62,-868.28
300871,-29.40,17.64,-868.28
301621,-32.34,14.70,-866.32
302371,-31.36,14.70,-869.26
303122,-32.34,16.66,-865.34
303872,-30.38,16.66,-864.36
304622,-30.38,17.64,-869.26
305372,-36.26,17.64,-872.20
306122,-33.32,15.68,-871.22
306872,-28.42,16.66,-873.18
307622,-26.46,17.64,-872.20
308372,-29.40,18.62,-866.32
309122,-31.36,15.68,-874.16
309872,-29.40,13.72,-866.32
310623,-31.36,14.70,-872.20
311373,-34.30,15.68,-870.24
312123,-29.40,17.64,-870.24
312873,-28.42,18.62,-869.26
313623,-32.34,16.66,-871.22
314374,-29.40,13.72,-869.26
315124,-31.36,17.64,-870.24
315874,-34.30,16.66,-876.12
316624,-36.26,14.70,-873.18
317375,-34.30,15.68,-867.30
318125,-31.36,16.66,-863.38
318875,-35.28,16.66,-869.26
319625,-31.36,13.72,-868.28
320376,-33.32,12.74,-875.14
321126,-34.30,14.70,-870.24
321876,-30.38,15.68,-861.42
322626,-29.40,14.70,-859.46
323376,-29.40,18.62,-864.36
324126,-29.40,16.66,-864.36
324876,-32.34,14.70,-862.40
325626,-32.34,15.68,-865.34
326377,-35.28,14.70,-861.42
327127,-33.32,15.68,-864.36
327877,-33.32,14.70,-862.40
328628,-31.36,13.72,-869.26
329378,-29.40,11.76,-871.22
330128,-22.54,14.70,-866.32
330879,-19.60,13.72,-872.20
331629,-23.52,14.70,-870.24
332380,-27.44,15.68,-866.32
333130,-27.44,14.70,-870.24
333880,-32.34,16.66,-865.34
334631,-28.42,17.64,-869.26
335381,-32.34,19.60,-870.24
336132,-32.34,16.66,-877.10
336882,-31.36,18.62,-872.20
337633,-30.38,15.68,-869.26
338384,-34.30,15.68,-873.18
339134,-29.40,17.64,-871.22
339885,-31.36,15.68,-872.20
340635,-30.38,14.70,-862.40
341386,-29.40,17.64,-865.34
342136,-34.30,20.58,-867.30
342886,-35.28,16.66,-870.24
343637,-32.34,16.66,-868.28
344387,-32.34,15.68,-866.32
345137,-31.36,17.64,-863.38
345888,-35.28,20.58,-869.26
346638,-31.36,20.58,-874.16
347387,-29.40,17.64,-867.30
348137,-31.36,19.60,-869.26
348887,-32.34,17.64,-872.20
349637,-30.38,14.70,-867.30
350387,-29.40,19.60,-863.38
351137,-32.34,14.70,-868.28
351887,-33.32,17.64,-869.26
352637,-29.40,16.66,-870.24
353387,-33.32,14.70,-875.14
354137,-32.34,17.64,-868.28
354887,-32.34,11.76,-867.30
355638,-27.44,13.72,-872.20
356387,-29.40,16.66,-866.32
357138,-30.38,20.58,-874.16
357888,-28.42,16.66,-871.22
358638,-27.44,16.66,-868.28
359388,-28.42,19.60,-866.32
360138,-28.42,17.64,-865.34
360888,-28.42,15.68,-865.34
361638,-27.44,15.68,-868.28
362388,-26.46,18.62,-869.26
363139,-26.46,21.56,-866.32
363889,-30.38,16.66,-868.28
364639,-31.36,14.70,-865.34
365390,-34.30,13.72,-860.44
366140,-33.32,15.68,-867.30
366890,-30.38,15.68,-871.22
367640,-30.38,16.66,-865.34
368390,-28.42,15.68,-862.40
369140,-23.52,14.70,-864.36
369890,-27.44,14.70,-866.32
370640,-26.46,14.70,-863.38
371390,-25.48,13.72,-865.34
372140,-29.40,13.72,-873.18
372890,-25.48,14.70,-872.20
373640,-27.44,12.74,-867.30
374390,-34.30,16.66,-865.34
375140,-32.34,20.58,-864.36
