=== Résumé acquisition ===
Fréquence théorique (Hz),1344.00
Écart moyen (µs),750.19
Écart min (µs),745
Écart max (µs),755
Fréquence moyenne (Hz),1332.99
Fréquence min (Hz),1324.50
Fréquence max (Hz),1342.28

t(us),X(mg),Y(mg),Z(mg)
138374,-29.40,1.96,-871.22
139124,-26.46,7.84,-870.24
139873,-24.50,9.80,-873.18
140623,-24.50,8.82,-872.20
141373,-27.44,7.84,-869.26
142123,-29.40,5.88,-871.22
142873,-27.44,0.00,-871.22
143623,-21.56,4.90,-873.18
144373,-18.62,3.92,-869.26
145123,-19.60,0.98,-871.22
145873,-23.52,0.00,-867.30
146624,-23.52,2.94,-864.36
147374,-22.54,2.94,-864.36
148124,-19.60,4.90,-869.26
148874,-22.54,3.92,-868.28
149624,-19.60,3.92,-869.26
150375,-23.52,5.88,-873.18
151125,-29.40,9.80,-877.10
151875,-27.44,4.90,-877.10
152624,-27.44,5.88,-870.24
153374,-30.38,7.84,-875.14
154124,-28.42,7.84,-873.18
154874,-29.40,4.90,-872.20
155625,-24.50,7.84,-878.08
156375,-23.52,2.94,-878.08
157124,-23.52,0.00,-871.22
157874,-25.48,4.90,-874.16
158624,-27.44,4.90,-879.06
159374,-30.38,5.88,-876.12
160124,-26.46,6.86,-872.20
160873,-21.56,5.88,-874.16
161623,-21.56,5.88,-870.24
162373,-21.56,5.88,-869.26
163123,-20.58,4.90,-867.30
163873,-20.58,5.88,-871.22
164623,-23.52,4.90,-871.22
165373,-23.52,7.84,-864.36
166123,-24.50,7.84,-873.18
166872,-25.48,6.86,-868.28
167623,-24.50,7.84,-869.26
168372,-21.56,7.84,-861.42
169122,-27.44,5.88,-865.34
169873,-29.40,7.84,-864.36
170623,-32.34,6.86,-862.40
171373,-28.42,8.82,-871.22
172123,-24.50,3.92,-873.18
172873,-23.52,4.90,-867.30
173623,-26.46,3.92,-868.28
174373,-23.52,3.92,-868.28
175123,-25.48,3.92,-869.26
175872,-27.44,2.94,-870.24
176622,-26.46,3.92,-872.20
177372,-20.58,5.88,-876.12
178122,-22.54,7.84,-876.12
178873,-24.50,3.92,-881.02
179623,-20.58,6.86,-876.12
180373,-22.54,7.84,-878.08
181123,-18.62,7.84,-864.36
181873,-20.58,5.88,-865.34
182623,-24.50,4.90,-873.18
183373,-25.48,3.92,-869.26
184122,-25.48,7.84,-874.16
184872,-27.44,3.92,-865.34
185622,-24.50,5.88,-874.16
186372,-23.52,6.86,-866.32
187122,-21.56,5.88,-876.12
187872,-25.48,5.88,-865.34
188622,-24.50,7.84,-865.34
189371,-23.52,7.84,-861.42
190122,-25.48,5.88,-865.34
190872,-23.52,8.82,-871.22
191622,-24.50,7.84,-875.14
192373,-21.56,9.80,-865.34
193123,-26.46,6.86,-867.30
193873,-26.46,4.90,-868.28
194625,-21.56,6.86,-861.42
195374,-22.54,3.92,-865.34
196125,-21.56,2.94,-867.30
196875,-22.54,2.94,-866.32
197625,-21.56,1.96,-865.34
198375,-22.54,0.98,-865.34
199125,-22.54,4.90,-866.32
199876,-21.56,1.96,-864.36
200626,-26.46,5.88,-867.30
201376,-23.52,6.86,-878.08
202126,-26.46,6.86,-872.20
202877,-24.50,3.92,-870.24
203627,-25.48,1.96,-869.26
204377,-21.56,4.90,-872.20
205127,-19.60,2.94,-872.20
205877,-26.46,4.90,-879.06
206627,-23.52,5.88,-865.34
207377,-26.46,5.88,-871.22
208128,-22.54,4.90,-875.14
208878,-26.46,4.90,-872.20
209629,-24.50,6.86,-874.16
210379,-25.48,1.96,-869.26
211130,-28.42,3.92,-870.24
211880,-26.46,5.88,-878.08
212631,-24.50,5.88,-871.22
213381,-20.58,6.86,-875.14
214131,-20.58,6.86,-880.04
214882,-22.54,3.92,-879.06
215633,-21.56,3.92,-876.12
216382,-20.58,1.96,-867.30
217133,-23.52,1.96,-868.28
217883,-21.56,3.92,-866.32
218633,-23.52,2.94,-868.28
219384,-26.46,4.90,-868.28
220134,-23.52,4.90,-861.42
220884,-24.50,3.92,-864.36
221634,-29.40,1.96,-867.30
222384,-27.44,3.92,-860.44
223135,-28.42,0.98,-865.34
223885,-27.44,3.92,-864.36
224635,-25.48,4.90,-864.36
225386,-26.46,6.86,-869.26
226136,-24.50,5.88,-869.26
226885,-24.50,3.92,-869.26
227636,-28.42,4.90,-868.28
228386,-28.42,5.88,-867.30
229136,-23.52,3.92,-871.22
229886,-27.44,4.90,-874.16
230636,-25.48,3.92,-879.06
231386,-28.42,5.88,-874.16
232136,-26.46,3.92,-872.20
232886,-26.46,2.94,-874.16
233636,-27.44,6.86,-871.22
234387,-27.44,3.92,-866.32
235137,-29.40,3.92,-866.32
235888,-24.50,5.88,-868.28
236638,-20.58,1.96,-873.18
237388,-21.56,1.96,-863.38
238138,-21.56,4.90,-867.30
238889,-26.46,6.86,-867.30
239639,-26.46,8.82,-867.30
240388,-22.54,6.86,-868.28
241138,-23.52,2.94,-871.22
241888,-23.52,1.96,-868.28
242639,-19.60,3.92,-872.20
243389,-21.56,4.90,-871.22
244139,-26.46,5.88,-869.26
244890,-26.46,6.86,-864.36
245640,-23.52,3.92,-871.22
246390,-23.52,1.96,-865.34
247141,-22.54,4.90,-867.30
247891,-23.52,3.92,-867.30
248642,-29.40,5.88,-873.18
249392,-27.44,1.96,-870.24
250142,-22.54,4.90,-875.14
250893,-25.48,4.90,-871.22
251642,-21.56,7.84,-874.16
252393,-20.58,8.82,-872.20
253143,-23.52,10.78,-870.24
253893,-23.52,7.84,-869.26
254643,-25.48,4.90,-865.34
255393,-30.38,2.94,-865.34
256143,-26.46,2.94,-865.34
256894,-26.46,-0.98,-865.34
