=== Résumé acquisition ===
Fréquence théorique (Hz),1344.00
Écart moyen (µs),750.28
Écart min (µs),745
Écart max (µs),755
Fréquence moyenne (Hz),1332.83
Fréquence min (Hz),1324.50
Fréquence max (Hz),1342.28

t(us),X(mg),Y(mg),Z(mg)
138366,-9.80,35.28,-868.28
139117,-6.86,35.28,-873.18
139867,-7.84,36.26,-864.36
140618,-9.80,39.20,-865.34
141368,-7.84,40.18,-872.20
142119,-7.84,36.26,-869.26
142869,-9.80,35.28,-868.28
143620,-10.78,33.32,-871.22
144370,-10.78,32.34,-866.32
145121,-8.82,36.26,-864.36
145871,-7.84,37.24,-864.36
146622,-9.80,37.24,-873.18
147372,-11.76,29.40,-871.22
148123,-15.68,29.40,-869.26
148873,-13.72,27.44,-877.10
149624,-10.78,29.40,-877.10
150374,-11.76,31.36,-873.18
151125,-8.82,30.38,-873.18
151875,-5.88,30.38,-866.32
152626,-10.78,29.40,-862.40
153376,-13.72,32.34,-864.36
154127,-8.82,34.30,-864.36
154878,-10.78,33.32,-868.28
155628,-11.76,37.24,-872.20
156379,-13.72,34.30,-874.16
157130,-13.72,38.22,-873.18
157880,-14.70,41.16,-877.10
158630,-10.78,38.22,-873.18
159381,-6.86,37.24,-879.06
160132,-5.88,36.26,-871.22
160883,-6.86,35.28,-875.14
161633,-8.82,35.28,-870.24
162383,-9.80,34.30,-877.10
163134,-7.84,34.30,-871.22
163884,-9.80,36.26,-870.24
164635,-10.78,33.32,-866.32
165385,-12.74,35.28,-866.32
166136,-12.74,33.32,-864.36
166886,-13.72,33.32,-865.34
167637,-9.80,35.28,-870.24
168387,-11.76,37.24,-870.24
169138,-13.72,36.26,-876.12
169889,-15.68,40.18,-873.18
170639,-13.72,35.28,-871.22
171389,-11.76,36.26,-874.16
172140,-12.74,31.36,-880.04
172891,-7.84,33.32,-870.24
173642,-5.88,35.28,-870.24
174392,-5.88,37.24,-872.20
175143,-3.92,37.24,-877.10
175894,-4.90,35.28,-868.28
176645,-6.86,34.30,-877.10
177395,-11.76,32.34,-874.16
178146,-11.76,34.30,-867.30
178896,-13.72,30.38,-868.28
179646,-9.80,32.34,-866.32
180396,-8.82,34.30,-869.26
181147,-7.84,36.26,-877.10
181897,-6.86,31.36,-868.28
182647,-11.76,35.28,-868.28
183397,-12.74,33.32,-872.20
184148,-8.82,33.32,-872.20
184898,-12.74,32.34,-873.18
185648,-12.74,33.32,-864.36
186400,-12.74,32.34,-872.20
187150,-13.72,31.36,-866.32
187900,-10.78,32.34,-874.16
188650,-11.76,31.36,-871.22
189401,-10.78,33.32,-869.26
190152,-9.80,31.36,-871.22
190903,-7.84,33.32,-867.30
191654,-8.82,33.32,-865.34
192404,-8.82,31.36,-866.32
193155,-11.76,31.36,-874.16
193906,-9.80,29.40,-868.28
194656,-12.74,29.40,-869.26
195407,-13.72,28.42,-864.36
196157,-15.68,35.28,-871.22
196908,-12.74,35.28,-872.20
197659,-10.78,34.30,-872.20
198409,-10.78,35.28,-865.34
199160,-9.80,29.40,-870.24
199910,-7.84,32.34,-872.20
200661,-11.76,31.36,-866.32
201411,-14.70,31.36,-866.32
202161,-11.76,30.38,-866.32
202912,-11.76,32.34,-861.42
203662,-7.84,35.28,-862.40
204413,-8.82,35.28,-868.28
205163,-8.82,34.30,-871.22
205913,-7.84,33.32,-867.30
206663,-8.82,37.24,-868.28
207414,-8.82,36.26,-877.10
208164,-9.80,33.32,-879.06
208915,-9.80,35.28,-873.18
209665,-8.82,32.34,-872.20
210415,-5.88,31.36,-869.26
211165,-7.84,34.30,-863.38
211915,-13.72,36.26,-858.48
212665,-7.84,34.30,-866.32
213416,-10.78,37.24,-865.34
214166,-9.80,35.28,-862.40
214916,-13.72,36.26,-866.32
215666,-14.70,34.30,-867.30
216417,-9.80,34.30,-867.30
217167,-9.80,36.26,-869.26
217917,-6.86,33.32,-876.12
218668,-4.90,33.32,-881.02
219418,-5.88,34.30,-874.16
220168,-7.84,34.30,-871.22
220918,-3.92,34.30,-871.22
221669,-9.80,33.32,-873.18
222419,-8.82,30.38,-871.22
223169,-10.78,35.28,-868.28
223919,-12.74,34.30,-872.20
224669,-11.76,34.30,-872.20
225420,-12.74,32.34,-875.14
226170,-10.78,30.38,-871.22
226920,-10.78,31.36,-866.32
227670,-8.82,32.34,-863.38
228420,-9.80,35.28,-869.26
229171,-8.82,33.32,-871.22
229921,-8.82,35.28,-870.24
230671,-9.80,31.36,-865.34
231422,-11.76,29.40,-864.36
232172,-11.76,34.30,-866.32
232923,-8.82,37.24,-872.20
233673,-9.80,35.28,-871.22
234424,-8.82,38.22,-866.32
235174,-15.68,35.28,-869.26
235925,-13.72,35.28,-863.38
236676,-17.64,32.34,-871.22
237426,-16.66,33.32,-873.18
238177,-12.74,32.34,-868.28
238927,-12.74,31.36,-871.22
239678,-11.76,33.32,-875.14
240428,-8.82,35.28,-872.20
241179,-6.86,35.28,-871.22
241929,-11.76,30.38,-866.32
242680,-10.78,34.30,-869.26
243430,-7.84,32.34,-871.22
244181,-11.76,33.32,-879.06
244931,-13.72,36.26,-870.24
245682,-12.74,34.30,-870.24
246432,-12.74,36.26,-865.34
247183,-12.74,35.28,-868.28
247933,-13.72,31.36,-871.22
248684,-14.70,32.34,-865.34
249434,-9.80,32.34,-865.34
250184,-9.80,33.32,-868.28
250935,-8.82,35.28,-865.34
251686,-8.82,34.30,-872.20
252437,-5.88,34.30,-873.18
253187,-12.74,33.32,-872.20
253938,-7.84,32.34,-873.18
254688,-10.78,34.30,-872.20
255438,-3.92,35.28,-869.26
256189,-8.82,35.28,-868.28
256939,-10.78,33.32,-876.12
257689,-10.78,35.28,-873.18
258440,-11.76,34.30,-872.20
259190,-12.74,32.34,-871.22
259941,-8.82,31.36,-872.20
