=== Résumé acquisition ===
Fréquence théorique (Hz),1344.00
Écart moyen (µs),750.22
Écart min (µs),746
Écart max (µs),755
Fréquence moyenne (Hz),1332.95
Fréquence min (Hz),1324.50
Fréquence max (Hz),1340.48

t(us),X(mg),Y(mg),Z(mg)
3545,-23.52,5.88,-867.30
4295,-24.50,1.96,-860.44
5044,-25.48,4.90,-864.36
5796,-26.46,3.92,-859.46
6545,-24.50,1.96,-865.34
7296,-21.56,0.00,-865.34
8046,-25.48,2.94,-869.26
8796,-26.46,5.88,-867.30
9546,-23.52,4.90,-875.14
10296,-25.48,3.92,-869.26
11046,-25.48,4.90,-876.12
11797,-29.40,3.92,-875.14
12547,-26.46,2.94,-870.24
13297,-23.52,2.94,-868.28
14048,-25.48,2.94,-871.22
14798,-25.48,2.94,-866.32
15548,-22.54,2.94,-869.26
16299,-19.60,5.88,-870.24
17049,-15.68,3.92,-867.30
17800,-19.60,0.00,-875.14
18550,-22.54,1.96,-873.18
19300,-23.52,2.94,-866.32
20051,-22.54,4.90,-865.34
20801,-21.56,8.82,-865.34
21551,-26.46,6.86,-867.30
22301,-23.52,6.86,-862.40
23051,-25.48,6.86,-864.36
23802,-25.48,3.92,-862.40
24552,-25.48,4.90,-868.28
25302,-21.56,4.90,-864.36
26052,-24.50,4.90,-865.34
26803,-26.46,2.94,-864.36
27552,-28.42,2.94,-866.32
28303,-27.44,4.90,-866.32
29053,-24.50,5.88,-865.34
29803,-24.50,0.98,-868.28
30553,-20.58,3.92,-871.22
31304,-27.44,3.92,-872.20
32054,-26.46,6.86,-869.26
32804,-27.44,4.90,-865.34
33554,-28.42,6.86,-866.32
34305,-28.42,6.86,-867.30
35055,-27.44,7.84,-874.16
35805,-24.50,6.86,-866.32
36555,-20.58,7.84,-864.36
37306,-20.58,7.84,-861.42
38056,-26.46,5.88,-870.24
38807,-23.52,5.88,-871.22
39557,-23.52,4.90,-867.30
40307,-18.62,4.90,-863.38
41057,-20.58,1.96,-866.32
41808,-23.52,1.96,-865.34
42558,-23.52,0.98,-871.22
43308,-22.54,2.94,-866.32
44058,-21.56,5.88,-864.36
44808,-19.60,9.80,-867.30
45559,-18.62,4.90,-867.30
46309,-21.56,3.92,-860.44
47059,-20.58,6.86,-861.42
47810,-25.48,2.94,-874.16
48560,-25.48,6.86,-867.30
49309,-25.48,6.86,-862.40
50060,-27.44,5.88,-864.36
50810,-22.54,7.84,-875.14
51560,-21.56,5.88,-867.30
52310,-19.60,4.90,-873.18
53061,-24.50,3.92,-873.18
53811,-25.48,3.92,-867.30
54561,-25.48,1.96,-868.28
55311,-25.48,6.86,-870.24
56061,-20.58,5.88,-868.28
56812,-22.54,2.94,-864.36
57561,-24.50,8.82,-877.10
58311,-25.48,7.84,-866.32
59062,-30.38,7.84,-869.26
59812,-23.52,6.86,-872.20
60562,-27.44,4.90,-872.20
61312,-27.44,7.84,-874.16
62063,-26.46,7.84,-869.26
62813,-24.50,5.88,-869.26
63563,-24.50,5.88,-870.24
64314,-25.48,3.92,-872.20
65064,-25.48,1.96,-872.20
65814,-23.52,2.94,-870.24
66564,-22.54,0.00,-870.24
67314,-24.50,3.92,-866.32
68064,-29.40,7.84,-864.36
68815,-26.46,4.90,-862.40
69565,-26.46,4.90,-871.22
70315,-27.44,5.88,-870.24
71066,-28.42,5.88,-874.16
71816,-26.46,5.88,-867.30
72566,-26.46,5.88,-871.22
73316,-22.54,5.88,-869.26
74066,-24.50,3.92,-862.40
74816,-23.52,4.90,-864.36
75567,-25.48,2.94,-869.26
76317,-21.56,3.92,-869.26
77067,-26.46,6.86,-863.38
77818,-26.46,5.88,-873.18
78568,-29.40,4.90,-868.28
79318,-30.38,5.88,-866.32
80068,-24.50,4.90,-872.20
80818,-23.52,6.86,-865.34
81568,-22.54,2.94,-865.34
82318,-24.50,1.96,-867.30
83068,-23.52,2.94,-865.34
83818,-25.48,7.84,-868.28
84569,-25.48,6.86,-860.44
85319,-18.62,8.82,-864.36
86069,-23.52,7.84,-870.24
86819,-23.52,7.84,-868.28
87569,-22.54,4.90,-862.40
88320,-21.56,4.90,-865.34
89071,-20.58,6.86,-864.36
89821,-20.58,4.90,-869.26
90571,-24.50,5.88,-870.24
91321,-22.54,7.84,-868.28
92072,-22.54,5.88,-869.26
92822,-22.54,0.00,-872.20
93572,-26.46,0.98,-867.30
94322,-29.40,3.92,-867.30
95071,-29.40,0.98,-861.42
95821,-25.48,7.84,-863.38
96571,-20.58,4.90,-873.18
97321,-28.42,2.94,-871.22
98071,-25.48,4.90,-865.34
98821,-21.56,6.86,-866.32
99571,-26.46,6.86,-858.48
100321,-24.50,5.88,-864.36
101071,-24.50,5.88,-857.50
101821,-24.50,4.90,-862.40
102571,-21.56,3.92,-865.34
103322,-23.52,4.90,-866.32
104072,-25.48,5.88,-870.24
104822,-25.48,4.90,-866.32
105572,-24.50,6.86,-864.36
106323,-22.54,1.96,-863.38
107072,-22.54,1.96,-868.28
107824,-17.64,3.92,-868.28
108573,-18.62,5.88,-861.42
109323,-16.66,6.86,-863.38
110073,-18.62,9.80,-862.40
110823,-23.52,8.82,-865.34
111573,-17.64,9.80,-864.36
112323,-21.56,5.88,-865.34
113073,-21.56,4.90,-864.36
113823,-22.54,6.86,-868.28
114574,-27.44,6.86,-861.42
115324,-22.54,2.94,-860.44
116074,-25.48,4.90,-864.36
116825,-23.52,2.94,-864.36
117575,-23.52,4.90,-869.26
118326,-24.50,8.82,-869.26
119076,-22.54,5.88,-867.30
119826,-24.50,4.90,-873.18
120577,-22.54,5.88,-867.30
121327,-23.52,7.84,-866.32
122078,-25.48,3.92,-867.30
122828,-29.40,3.92,-870.24
123578,-27.44,3.92,-867.30
124328,-26.46,4.90,-870.24
125078,-24.50,3.92,-869.26
125829,-24.50,2.94,-871.22
126579,-22.54,5.88,-876.12
127330,-23.52,0.98,-869.26
128080,-28.42,1.96,-867.30
128830,-27.44,3.92,-864.36
129580,-28.42,2.94,-867.30
130330,-27.44,3.92,-866.32
131081,-23.52,3.92,-862.40
131832,-25.48,4.90,-868.28
132582,-28.42,6.86,-867.30
133332,-27.44,3.92,-862.40
134082,-25.48,4.90,-867.30
134832,-24.50,4.90,-868.28
135582,-20.58,5.88,-870.24
136333,-22.54,4.90,-870.24
137083,-24.50,2.94,-871.22
137833,-22.54,4.90,-872.20
138584,-25.48,4.90,-871.22
139334,-24.50,1.96,-866.32
140084,-25.48,4.90,-869.26
140835,-24.50,3.92,-871.22
141585,-21.56,2.94,-868.28
142335,-22.54,6.86,-867.30
143085,-20.58,5.88,-862.40
143835,-24.50,4.90,-865.34
144586,-18.62,4.90,-863.38
145335,-23.52,5.88,-863.38
146085,-25.48,3.92,-861.42
146835,-25.48,7.84,-867.30
147585,-28.42,2.94,-872.20
148335,-19.60,4.90,-865.34
149084,-22.54,8.82,-861.42
149835,-22.54,11.76,-865.34
150584,-22.54,7.84,-866.32
151334,-23.52,2.94,-864.36
152084,-23.52,5.88,-876.12
152834,-24.50,7.84,-869.26
153584,-23.52,5.88,-865.34
154334,-22.54,4.90,-867.30
155084,-24.50,5.88,-870.24
