=== Résumé acquisition ===
Fréquence théorique (Hz),1344.00
Écart moyen (µs),973.93
Écart min (µs),649
Écart max (µs),1120
Fréquence moyenne (Hz),1026.77
Fréquence min (Hz),892.86
Fréquence max (Hz),1540.83

t(us),X(mg),Y(mg),Z(mg)
148454,32.34,-5.88,993.72
149175,31.36,-5.88,987.84
149961,29.40,-9.80,994.70
150679,24.50,-10.78,988.82
151467,28.42,-6.86,984.90
152252,33.32,-7.84,982.94
152976,30.38,-5.88,980.00
153758,33.32,-8.82,987.84
154480,31.36,-6.86,991.76
155265,31.36,-9.80,985.88
155987,27.44,-7.84,988.82
156770,28.42,-11.76,991.76
157493,30.38,-10.78,994.70
158277,28.42,-11.76,987.84
159065,27.44,-8.82,988.82
159781,30.38,-6.86,993.72
160571,29.40,-8.82,989.80
161288,29.40,-8.82,990.78
162076,26.46,-8.82,995.68
162791,29.40,-8.82,994.70
163581,31.36,-7.84,990.78
164365,30.38,-9.80,989.80
165087,29.40,-6.86,986.86
165869,31.36,-8.82,985.88
166592,31.36,-8.82,992.74
167376,31.36,-6.86,994.70
168100,31.36,-3.92,985.88
168880,28.42,-5.88,983.92
169603,29.40,-7.84,984.90
170387,28.42,-7.84,983.92
171147,30.38,-8.82,987.84
171889,26.46,-8.82,988.82
172680,30.38,-8.82,992.74
173397,30.38,-6.86,991.76
174202,28.42,-6.86,991.76
174924,32.34,-6.86,983.92
175710,27.44,-5.88,983.92
176432,32.34,-4.90,986.86
177215,32.34,-4.90,984.90
177965,33.32,-3.92,983.92
178692,28.42,-5.88,983.92
179479,27.44,-7.84,985.88
180201,23.52,-6.86,987.84
180987,23.52,-5.88,983.92
181772,22.54,-7.84,988.82
182493,26.46,-8.82,991.76
183280,30.38,-7.84,987.84
183998,31.36,-4.90,991.76
184783,30.38,-3.92,982.94
185502,35.28,-1.96,993.72
186290,34.30,-5.88,988.82
187075,32.34,-7.84,991.76
187794,27.44,-9.80,988.82
188578,26.46,-8.82,989.80
189299,30.38,-6.86,985.88
190084,30.38,-6.86,986.86
190803,32.34,-6.86,984.90
191588,30.38,-5.88,987.84
192376,30.38,-6.86,988.82
193096,27.44,-8.82,986.86
193880,27.44,-6.86,985.88
194600,32.34,-10.78,986.86
195387,30.38,-11.76,991.76
196107,33.32,-8.82,993.72
196891,33.32,-8.82,995.68
197611,36.26,-6.86,996.66
198399,30.38,-5.88,990.78
199183,29.40,-6.86,989.80
199901,34.30,-5.88,989.80
200688,37.24,-8.82,988.82
201410,37.24,-6.86,985.88
202196,39.20,-7.84,990.78
202952,31.36,-8.82,994.70
203704,28.42,-6.86,984.90
204429,34.30,-4.90,989.80
205214,28.42,-5.88,991.76
206003,28.42,-3.92,980.00
206716,30.38,-8.82,980.00
207506,30.38,-7.84,982.94
208224,33.32,-9.80,990.78
209014,30.38,-7.84,989.80
209727,29.40,-5.88,986.86
210517,26.46,-8.82,994.70
211235,26.46,-5.88,990.78
212025,29.40,-7.84,991.76
212805,25.48,-6.86,992.74
213528,30.38,-5.88,984.90
214312,27.44,-6.86,983.92
215033,24.50,-3.92,981.96
215812,31.36,-6.86,983.92
216537,33.32,-7.84,989.80
217320,33.32,-10.78,991.76
218109,34.30,-5.88,988.82
218825,30.38,-7.84,987.84
219612,26.46,-10.78,988.82
220330,27.44,-11.76,991.76
221120,27.44,-9.80,989.80
