=== Résumé acquisition ===
Fréquence théorique (Hz),1344.00
Écart moyen (µs),973.98
Écart min (µs),643
Écart max (µs),1481
Fréquence moyenne (Hz),1026.72
Fréquence min (Hz),675.22
Fréquence max (Hz),1555.21

t(us),X(mg),Y(mg),Z(mg)
3685,-0.98,25.48,980.98
4340,-7.84,21.56,986.86
5148,-9.80,19.60,986.86
5871,-7.84,22.54,980.98
6657,-7.84,27.44,980.00
7379,-10.78,30.38,978.04
8163,-5.88,27.44,975.10
8881,-4.90,26.46,976.08
9668,-6.86,23.52,980.00
10390,-4.90,22.54,983.92
11175,-3.92,24.50,985.88
11959,-3.92,27.44,986.86
12679,-2.94,27.44,977.06
13467,-6.86,27.44,983.92
14188,-8.82,30.38,986.86
14974,-4.90,28.42,986.86
15693,-1.96,27.44,978.04
16482,-2.94,27.44,976.08
17266,-6.86,26.46,978.04
17989,-6.86,29.40,978.04
18771,-7.84,25.48,976.08
19494,-8.82,24.50,979.02
20278,-3.92,27.44,980.00
21003,-4.90,27.44,980.98
21784,-6.86,28.42,980.98
22509,-4.90,29.40,979.02
23293,-3.92,27.44,983.92
24085,-5.88,27.44,985.88
24799,-5.88,26.46,980.00
25587,-5.88,28.42,980.98
26305,-4.90,27.44,982.94
27095,-5.88,27.44,984.90
27809,-5.88,26.46,980.00
28599,-8.82,23.52,978.04
29383,-3.92,26.46,980.98
30109,-3.92,24.50,978.04
30889,-6.86,27.44,987.84
31615,-6.86,26.46,982.94
32398,-3.92,25.48,985.88
33124,0.00,27.44,983.92
33904,-5.88,25.48,984.90
34627,-2.94,24.50,988.82
35411,-7.84,24.50,982.94
36201,-10.78,23.52,978.04
36917,-6.86,22.54,982.94
37705,-9.80,25.48,984.90
38423,-3.92,26.46,982.94
39213,-2.94,25.48,982.94
39950,-6.86,24.50,979.02
40742,-5.88,23.52,980.00
41502,-4.90,22.54,982.94
42224,0.98,21.56,974.12
43008,-1.96,22.54,980.00
43726,-3.92,22.54,985.88
44513,-5.88,25.48,984.90
45235,-8.82,22.54,984.90
46019,-5.88,25.48,983.92
46804,-3.92,26.46,977.06
47521,-4.90,27.44,981.96
48310,-4.90,29.40,984.90
49028,-5.88,29.40,980.00
49814,-8.82,30.38,985.88
50533,-7.84,32.34,981.96
51321,-8.82,27.44,983.92
52108,-5.88,26.46,990.78
52826,-5.88,24.50,990.78
53613,-6.86,22.54,988.82
54335,-5.88,30.38,988.82
55120,-5.88,32.34,983.92
55838,-8.82,29.40,985.88
56622,-8.82,27.44,980.00
57411,-6.86,26.46,984.90
58130,-4.90,28.42,987.84
58917,-3.92,29.40,983.92
59635,-3.92,27.44,987.84
60424,-5.88,31.36,990.78
61145,-5.88,26.46,988.82
61932,-7.84,26.46,988.82
62717,-5.88,22.54,987.84
63439,-4.90,25.48,985.88
64223,-4.90,25.48,986.86
64942,-4.90,29.40,984.90
65726,-5.88,30.38,984.90
66448,-5.88,30.38,983.92
67233,-3.92,26.46,981.96
68025,-3.92,29.40,981.96
68740,-5.88,27.44,979.02
69531,-1.96,28.42,979.02
70248,-1.96,29.40,982.94
71039,-2.94,25.48,984.90
71755,-2.94,24.50,986.86
72546,-0.98,25.48,985.88
73263,-2.94,26.46,984.90
74053,-4.90,22.54,981.96
74834,-7.84,26.46,980.98
75537,-4.90,24.50,978.04
76355,-8.82,22.54,984.90
77104,-7.84,24.50,983.92
77826,-7.84,26.46,980.00
78613,-7.84,27.44,987.84
79334,-3.92,24.50,984.90
80120,-6.86,24.50,984.90
80838,-4.90,25.48,982.94
81622,-2.94,23.52,975.10
82411,-1.96,25.48,979.02
83130,-0.98,23.52,976.08
83917,-0.98,25.48,976.08
84638,-3.92,27.44,980.98
85427,-9.80,26.46,981.96
86148,-7.84,21.56,976.08
86934,-8.82,24.50,984.90
87653,-7.84,28.42,986.86
88442,-3.92,26.46,983.92
89168,-6.86,27.44,980.00
89947,-7.84,26.46,983.92
90736,-4.90,29.40,977.06
91454,-8.82,30.38,978.04
92244,-6.86,32.34,980.98
93028,-6.86,30.38,984.90
93748,-5.88,34.30,980.00
94533,-7.84,34.30,982.94
95255,-8.82,31.36,976.08
96042,-9.80,29.40,983.92
96760,-8.82,30.38,982.94
97546,-6.86,30.38,985.88
98269,0.00,28.42,988.82
99055,-0.98,29.40,981.96
99841,-0.98,31.36,984.90
100560,-5.88,25.48,984.90
101349,-6.86,24.50,980.00
102069,-4.90,24.50,976.08
102857,-2.94,29.40,980.98
103576,-5.88,27.44,983.92
104365,-1.96,28.42,987.84
105085,0.00,27.44,986.86
105870,-1.96,24.50,988.82
106654,-3.92,22.54,981.96
107376,-6.86,24.50,978.04
108160,-7.84,27.44,981.96
108881,-6.86,29.40,985.88
109666,-3.92,25.48,983.92
110388,-6.86,24.50,983.92
111175,-4.90,26.46,986.86
111959,-4.90,25.48,991.76
112679,-4.90,25.48,991.76
113468,-1.96,26.46,988.82
114188,-5.88,27.44,986.86
114974,-7.84,25.48,988.82
115693,-5.88,23.52,981.96
116482,-5.88,22.54,986.86
117266,-4.90,25.48,986.86
117989,-3.92,23.52,987.84
118771,-3.92,25.48,984.90
119494,0.98,27.44,982.94
120278,-2.94,26.46,984.90
121003,-3.92,21.56,981.96
121784,-5.88,23.52,992.74
122509,-4.90,25.48,990.78
123293,-5.88,26.46,984.90
124019,-9.80,24.50,984.90
124801,-4.90,28.42,986.86
125591,-3.92,27.44,982.94
126309,-7.84,25.48,986.86
127098,-5.88,24.50,984.90
127814,-5.88,24.50,979.02
128604,-5.88,24.50,981.96
129321,-7.84,24.50,980.00
130112,-5.88,24.50,981.96
130892,-12.74,25.48,988.82
131615,-12.74,25.48,986.86
132399,-8.82,24.50,988.82
133123,-6.86,28.42,991.76
133904,-6.86,27.44,983.92
134627,-8.82,28.42,986.86
135411,-9.80,28.42,985.88
136134,-5.88,29.40,982.94
136915,-5.88,27.44,980.98
137705,-5.88,23.52,985.88
138422,-6.86,23.52,977.06
139211,-3.92,23.52,978.04
139925,-7.84,24.50,982.94
140717,-4.90,26.46,981.96
141434,-8.82,28.42,976.08
142226,-4.90,28.42,975.10
142960,-6.86,31.36,979.02
143755,-6.86,32.34,982.94
144518,-3.92,30.38,985.88
145242,-6.86,31.36,980.98
146027,-0.98,32.34,977.06
146746,-8.82,30.38,980.98
147533,-5.88,30.38,980.98
148255,-5.88,26.46,985.88
149042,-4.90,28.42,980.98
149826,-3.92,30.38,980.00
150546,-2.94,27.44,976.08
151335,-8.82,26.46,975.10
152055,-5.88,23.52,976.08
152841,-5.88,22.54,978.04
153560,-4.90,26.46,980.98
154349,-1.96,28.42,985.88
155069,-8.82,30.38,984.90
155857,-8.82,29.40,979.02
156643,-8.82,28.42,989.80
157365,-9.80,25.48,982.94
158151,-6.86,26.46,980.00
158870,-3.92,24.50,982.94
159654,-4.90,27.44,980.00
160376,-4.90,28.42,980.98
161161,-8.82,27.44,984.90
161947,-5.88,25.48,986.86
162666,-4.90,27.44,979.02
163454,-3.92,25.48,978.04
164173,0.98,22.54,978.04
164957,-0.98,24.50,984.90
165676,-2.94,24.50,982.94
166465,-4.90,22.54,986.86
167251,-3.92,24.50,991.76
167970,-4.90,23.52,987.84
168755,-4.90,22.54,986.86
169477,-5.88,24.50,985.88
170264,-4.90,22.54,989.80
170988,-5.88,23.52,983.92
171769,-5.88,22.54,981.96
172558,-1.96,24.50,983.92
173276,1.96,22.54,982.94
174067,-0.98,26.46,983.92
174781,-3.92,25.48,988.82
175572,-1.96,23.52,992.74
176289,0.98,22.54,989.80
177088,-0.98,23.52,990.78
177810,-0.98,24.50,990.78
178597,-3.92,25.48,985.88
179319,-4.90,25.48,981.96
