=== Résumé acquisition ===
Fréquence théorique (Hz),1344.00
Écart moyen (µs),861.90
Écart min (µs),333
Écart max (µs),1056
Fréquence moyenne (Hz),1160.23
Fréquence min (Hz),946.97
Fréquence max (Hz),3003.00

t(us),X(mg),Y(mg),Z(mg)
3188,48.02,48.02,986.86
4036,51.94,42.14,989.80
4750,50.96,44.10,987.84
5481,50.96,47.04,982.94
6201,51.94,45.08,987.84
6991,51.94,47.04,989.80
7706,54.88,47.04,983.92
8495,56.84,44.10,989.80
9279,54.88,44.10,987.84
10004,49.00,44.10,984.90
10785,45.08,48.02,986.86
11510,48.02,42.14,984.90
12294,51.94,44.10,981.96
13019,49.98,47.04,982.94
13800,49.98,44.10,986.86
14525,49.00,42.14,986.86
15309,53.90,43.12,996.66
16033,51.94,45.08,994.70
16815,50.96,48.02,987.84
17604,54.88,47.04,982.94
18322,51.94,46.06,985.88
19111,54.88,48.02,984.90
19840,51.94,49.00,985.88
20635,54.88,45.08,985.88
21353,51.94,47.04,988.82
22108,52.92,48.02,982.94
22894,51.94,49.00,981.96
23614,49.00,47.04,987.84
24402,44.10,47.04,990.78
25122,46.06,42.14,991.76
25909,50.96,43.12,983.92
26693,47.04,45.08,988.82
27415,52.92,45.08,984.90
28200,57.82,46.06,983.92
28920,51.94,49.98,991.76
29706,50.96,48.02,995.68
30427,49.00,45.08,989.80
31214,49.00,45.08,985.88
32006,50.96,46.06,985.88
32720,53.90,49.00,991.76
33512,51.94,48.02,990.78
34230,56.84,48.02,988.82
35019,55.86,46.06,991.76
35735,53.90,50.96,988.82
36526,50.96,49.00,983.92
37243,54.88,49.00,980.98
38032,50.96,45.08,980.98
38815,50.96,49.00,984.90
39538,55.86,47.04,991.76
40322,49.00,46.06,992.74
41046,48.02,48.02,994.70
41827,51.94,48.02,999.60
42549,53.90,47.04,995.68
43334,49.98,47.04,987.84
44123,53.90,43.12,988.82
44838,51.94,44.10,980.00
45628,51.94,47.04,986.86
46345,48.02,47.04,986.86
47137,49.98,45.08,981.96
47853,51.94,44.10,982.94
48645,49.98,46.06,987.84
49363,52.92,48.02,985.88
50153,52.92,49.98,986.86
50935,53.90,49.00,987.84
51658,51.94,49.00,981.96
52442,58.80,41.16,984.90
53168,53.90,46.06,991.76
53948,52.92,48.02,990.78
54671,57.82,49.98,993.72
55455,57.82,47.04,990.78
56245,50.96,48.02,986.86
56959,49.00,45.08,982.94
57749,49.98,42.14,983.92
58466,45.08,47.04,980.98
59257,50.96,49.00,986.86
59971,49.98,49.00,988.82
60760,50.96,49.00,986.86
61547,47.04,46.06,988.82
62269,50.96,44.10,984.90
63054,55.86,42.14,987.84
63772,55.86,47.04,987.84
64557,56.84,45.08,988.82
65279,53.90,44.10,987.84
66064,49.00,44.10,988.82
66849,50.96,45.08,990.78
67569,54.88,46.06,989.80
68357,55.86,45.08,993.72
69075,52.92,45.08,991.76
69860,51.94,43.12,990.78
70647,51.94,43.12,991.76
71368,53.90,43.12,983.92
72152,53.90,43.12,981.96
72870,50.96,43.12,983.92
73658,55.86,46.06,983.92
74380,56.84,46.06,980.98
75165,50.96,45.08,987.84
75949,49.98,45.08,989.80
76669,45.08,44.10,990.78
77457,49.00,45.08,989.80
78176,49.00,45.08,985.88
78960,50.96,47.04,989.80
79680,51.94,48.02,996.66
80469,48.02,47.04,990.78
81255,54.88,46.06,985.88
81975,49.98,47.04,992.74
82761,51.94,47.04,991.76
83483,51.94,45.08,984.90
84267,50.96,45.08,980.98
84990,52.92,45.08,991.76
85772,48.02,44.10,992.74
86561,51.94,49.00,993.72
87279,52.92,48.02,990.78
88070,53.90,49.00,985.88
88787,53.90,44.10,990.78
89578,53.90,43.12,993.72
90297,56.84,43.12,995.68
91086,54.88,46.06,994.70
91802,53.90,48.02,990.78
92594,55.86,49.98,990.78
93378,58.80,49.00,997.64
94101,58.80,48.02,994.70
94882,56.84,49.00,985.88
95604,49.98,49.00,994.70
96389,50.96,44.10,992.74
97113,51.94,48.02,992.74
97893,52.92,49.00,993.72
98682,51.94,49.98,992.74
99400,49.98,48.02,985.88
100189,52.92,48.02,984.90
100905,49.98,49.98,988.82
101694,49.98,48.02,986.86
102412,49.00,42.14,990.78
103201,51.94,43.12,990.78
103987,51.94,47.04,988.82
104723,48.02,49.98,985.88
105503,47.04,48.02,992.74
106228,49.00,49.00,989.80
106984,48.02,49.00,989.80
107769,49.98,48.02,985.88
108489,53.90,48.02,986.86
109278,51.94,46.06,985.88
109998,53.90,46.06,983.92
110783,51.94,47.04,986.86
111504,49.00,46.06,986.86
112291,48.02,46.06,983.92
