=== Résumé acquisition ===
Fréquence théorique (Hz),1344.00
Écart moyen (µs),861.77
Écart min (µs),642
Écart max (µs),1124
Fréquence moyenne (Hz),1160.40
Fréquence min (Hz),889.68
Fréquence max (Hz),1557.63

t(us),X(mg),Y(mg),Z(mg)
157761,48.02,41.16,988.82
158547,49.98,44.10,991.76
159268,47.04,45.08,987.84
160054,49.00,45.08,984.90
160772,47.04,45.08,978.04
161557,47.04,47.04,984.90
162346,46.06,46.06,988.82
163064,50.96,48.02,985.88
163849,49.98,48.02,990.78
164569,51.94,49.00,977.06
165357,53.90,49.00,980.98
166076,50.96,49.00,981.96
166860,51.94,45.08,981.96
167647,49.98,48.02,986.86
168368,50.96,49.98,982.94
169153,49.00,47.04,976.08
169870,50.96,46.06,983.92
170658,51.94,49.00,988.82
171379,49.00,47.04,986.86
172164,49.98,46.06,989.80
172948,51.94,46.06,986.86
173667,54.88,43.12,981.96
174455,53.90,45.08,990.78
175174,53.90,45.08,991.76
175958,50.96,42.14,995.68
176677,48.02,47.04,987.84
177488,47.04,48.02,991.76
178214,50.96,47.04,989.80
179001,53.90,49.00,985.88
179749,55.86,47.04,983.92
180467,51.94,45.08,991.76
181258,55.86,45.08,989.80
181972,49.98,47.04,992.74
182761,50.96,48.02,990.78
183549,49.00,49.00,987.84
184270,48.02,49.00,989.80
185056,46.06,49.00,987.84
185776,49.00,48.02,982.94
186562,49.98,48.02,980.98
187283,50.96,47.04,981.96
188070,49.00,47.04,986.86
188787,49.00,47.04,986.86
189573,51.94,46.06,984.90
190361,50.96,46.06,986.86
191081,50.96,44.10,980.00
191866,52.92,44.10,983.92
192587,49.98,45.08,990.78
193375,49.00,45.08,993.72
194095,51.94,46.06,988.82
194880,55.86,44.10,994.70
195601,50.96,46.06,985.88
196388,48.02,46.06,993.72
197175,52.92,47.04,993.72
197893,46.06,47.04,985.88
198680,48.02,44.10,984.90
199401,51.94,42.14,988.82
200189,49.00,44.10,985.88
200909,49.00,46.06,986.86
201694,49.98,40.18,985.88
202416,51.94,44.10,980.98
203201,51.94,45.08,985.88
203990,50.96,44.10,983.92
204706,49.00,45.08,987.84
205495,50.96,44.10,989.80
206213,50.96,46.06,991.76
207004,50.96,44.10,987.84
207720,50.96,47.04,990.78
208510,46.06,46.06,991.76
209229,48.02,46.06,988.82
210019,49.00,46.06,990.78
210802,49.98,46.06,990.78
211525,56.84,47.04,988.82
212310,53.90,44.10,993.72
213032,53.90,45.08,992.74
213815,55.86,45.08,992.74
214538,52.92,45.08,991.76
215322,49.00,42.14,985.88
216046,49.98,44.10,985.88
216827,50.96,45.08,989.80
217616,50.96,46.06,986.86
218334,47.04,44.10,986.86
219123,48.02,46.06,997.64
219839,51.94,45.08,993.72
220628,50.96,45.08,998.62
221413,56.84,42.14,992.74
222121,55.86,43.12,988.82
222902,53.90,43.12,989.80
223624,56.84,46.06,989.80
224409,56.84,46.06,985.88
225199,53.90,45.08,988.82
225915,49.98,48.02,986.86
226705,49.98,47.04,988.82
227423,50.96,46.06,988.82
228214,54.88,43.12,986.86
228931,48.02,45.08,988.82
229720,49.00,45.08,988.82
230439,49.98,49.00,989.80
231227,52.92,47.04,988.82
232014,49.98,46.06,989.80
232733,50.96,44.10,986.86
233521,53.90,46.06,980.00
234242,55.86,49.00,982.94
235028,53.90,48.02,987.84
235747,51.94,44.10,984.90
236534,51.94,45.08,985.88
237320,53.90,49.00,984.90
238041,49.98,49.00,989.80
238824,53.90,49.00,983.92
239544,50.96,48.02,985.88
240331,50.96,45.08,993.72
241053,51.94,42.14,986.86
241838,48.02,45.08,990.78
242623,49.98,43.12,984.90
243345,52.92,46.06,980.00
244131,52.92,47.04,980.98
244849,51.94,41.16,985.88
245636,51.94,46.06,988.82
246357,47.04,47.04,992.74
247145,49.98,46.06,995.68
247864,49.98,49.00,990.78
248652,53.90,44.10,985.88
249440,52.92,46.06,987.84
250157,55.86,48.02,984.90
250943,51.94,48.02,986.86
251661,52.92,48.02,988.82
252449,50.96,47.04,990.78
253168,52.92,44.10,987.84
253953,53.90,43.12,982.94
254741,50.96,40.18,987.84
255463,50.96,47.04,987.84
256252,50.96,47.04,984.90
256971,48.02,47.04,989.80
257757,49.00,48.02,984.90
258479,52.92,49.98,985.88
259266,51.94,49.98,988.82
259988,52.92,50.96,989.80
260770,49.98,48.02,982.94
261557,49.98,47.04,986.86
262275,47.04,46.06,986.86
263064,48.02,45.08,988.82
263780,49.98,46.06,987.84
264570,53.90,48.02,982.94
265288,51.94,48.02,983.92
266079,52.92,49.00,985.88
266860,52.92,46.06,985.88
267583,52.92,43.12,981.96
268368,49.00,44.10,980.00
269092,51.94,46.06,983.92
269876,50.96,45.08,983.92
270600,50.96,46.06,984.90
271385,47.04,46.06,988.82
272108,48.02,42.14,997.64
272889,50.96,43.12,992.74
273677,52.92,48.02,999.60
274396,51.94,48.02,989.80
275187,53.90,50.96,992.74
275902,53.90,47.04,989.80
276690,53.90,47.04,992.74
277409,51.94,49.00,989.80
278199,54.88,46.06,994.70
278986,53.90,48.02,986.86
279705,51.94,48.02,983.92
280439,53.90,46.06,984.90
281232,50.96,43.12,991.76
281948,51.94,42.14,988.82
282703,53.90,46.06,984.90
283493,52.92,44.10,984.90
284277,53.90,46.06,987.84
285001,50.96,47.04,987.84
285783,57.82,44.10,986.86
286506,51.94,43.12,983.92
287291,51.94,48.02,986.86
288014,51.94,46.06,986.86
288794,56.84,46.06,987.84
289585,54.88,49.00,988.82
290303,54.88,44.10,980.98
291092,54.88,47.04,980.98
291808,54.88,48.02,987.84
292598,51.94,49.00,987.84
293316,52.92,46.06,981.96
294107,46.06,43.12,984.90
294822,44.10,46.06,982.94
295614,49.00,46.06,984.90
296398,49.98,45.08,992.74
297121,51.94,46.06,992.74
297902,56.84,45.08,987.84
298624,53.90,47.04,987.84
299409,49.98,45.08,995.68
300132,47.04,48.02,989.80
300915,50.96,45.08,993.72
301639,53.90,45.08,993.72
302423,49.00,43.12,984.90
303274,52.92,44.10,994.70
303926,49.98,44.10,985.88
304720,50.96,42.14,982.94
305439,52.92,42.14,984.90
306227,49.98,42.14,986.86
306943,49.00,45.08,982.94
307733,49.00,49.00,982.94
308521,52.92,46.06,987.84
309243,48.02,48.02,984.90
310028,47.04,46.06,987.84
310747,49.98,44.10,984.90
311534,50.96,46.06,987.84
312255,50.96,47.04,985.88
313043,50.96,47.04,980.98
313761,49.00,46.06,984.90
314547,47.04,47.04,988.82
315335,49.00,47.04,986.86
316054,49.00,46.06,983.92
316838,49.98,47.04,980.98
317557,48.02,42.14,984.90
318346,49.00,42.14,990.78
319065,49.00,45.08,988.82
319851,49.98,45.08,994.70
320639,49.98,48.02,994.70
321361,50.96,45.08,990.78
322149,50.96,48.02,988.82
322868,55.86,48.02,980.98
323654,55.86,46.06,986.86
324376,48.02,44.10,986.86
325161,48.02,46.06,989.80
325880,48.02,43.12,994.70
326667,52.92,45.08,993.72
327455,53.90,42.14,994.70
328174,53.90,48.02,988.82
328958,51.94,45.08,987.84
329677,52.92,45.08,986.86
330465,49.98,46.06,985.88
331185,53.90,50.96,988.82
331971,51.94,49.98,990.78
332756,53.90,49.00,989.80
333478,49.98,49.00,988.82
334266,51.94,48.02,984.90
334990,53.90,44.10,984.90
335772,50.96,44.10,986.86
336495,54.88,46.06,985.88
337279,53.90,46.06,991.76
338004,51.94,48.02,994.70
338787,54.88,49.98,984.90
339512,53.90,46.06,985.88
340297,53.90,45.08,985.88
341086,52.92,49.98,990.78
341802,51.94,49.00,987.84
342591,54.88,48.02,982.94
343310,55.86,43.12,981.96
344099,52.92,41.16,982.94
344815,50.96,44.10,987.84
345604,51.94,43.12,990.78
346389,49.98,46.06,988.82
347112,49.98,48.02,983.92
347893,53.90,49.98,982.94
348616,52.92,49.98,980.98
349400,53.90,46.06,980.00
350125,53.90,47.04,986.86
350905,47.04,45.08,987.84
351628,48.02,44.10,986.86
352412,49.98,45.08,986.86
353202,49.00,45.08,994.70
353918,50.96,47.04,988.82
354709,49.98,49.00,992.74
355428,53.90,47.04,988.82
356219,55.86,47.04,988.82
356935,56.84,47.04,985.88
357725,55.86,47.04,992.74
358443,56.84,49.00,993.72
359234,53.90,48.02,982.94
360020,54.88,46.06,988.82
360737,48.02,43.12,980.00
361525,48.02,40.18,982.94
362246,51.94,43.12,987.84
363031,50.96,43.12,987.84
